district,subdistrict,religion,persons,males,females
Palestine,ALL,all,648530,329677,318853
Palestine,ALL,moslems,571637,289076,282561
Palestine,ALL,jews,46143,25150,20993
Palestine,ALL,christians,22148,11134,11014
Palestine,ALL,others,8602,4317,4285
Southern,ALL,all,212117,110125,101992
Southern,ALL,moslems,184682,95088,89594
Southern,ALL,jews,25899,14021,11878
Southern,ALL,christians,1528,1009,519
Southern,ALL,others,8,7,1
Southern,Gaza,all,67551,33697,33854
Southern,Gaza,moslems,67026,33390,33636
Southern,Gaza,jews,417,237,180
Southern,Gaza,christians,107,69,38
Southern,Gaza,others,1,1,0
Southern,Beersheba,all,48123,26121,22002
Southern,Beersheba,moslems,48116,26116,22000
Southern,Beersheba,jews,6,4,2
Southern,Beersheba,christians,1,1,0
Southern,Beersheba,others,0,0,0
Southern,Jaffa,all,47535,25070,22465
Southern,Jaffa,moslems,29866,15498,14368
Southern,Jaffa,jews,17016,9231,7785
Southern,Jaffa,christians,646,335,311
Southern,Jaffa,others,7,6,1
Southern,Ramle,all,48908,25237,23671
Southern,Ramle,moslems,39674,20084,19590
Southern,Ramle,jews,8460,4549,3911
Southern,Ramle,christians,774,604,170
Southern,Ramle,others,0,0,0
Jerusalem,ALL,all,144696,72528,72168
Jerusalem,ALL,moslems,133913,67095,66818
Jerusalem,ALL,jews,3598,2026,1572
Jerusalem,ALL,christians,7157,3384,3773
Jerusalem,ALL,others,28,23,5
Jerusalem,Hebron,all,50100,25495,24605
Jerusalem,Hebron,moslems,50088,25490,24598
Jerusalem,Hebron,jews,0,0,0
Jerusalem,Hebron,christians,12,5,7
Jerusalem,Hebron,others,0,0,0
Jerusalem,Bethlehem,all,14180,7166,7014
Jerusalem,Bethlehem,moslems,11631,5934,5697
Jerusalem,Bethlehem,jews,39,21,18
Jerusalem,Bethlehem,christians,2510,1211,1299
Jerusalem,Bethlehem,others,0,0,0
Jerusalem,Jerusalem,all,42158,20836,21322
Jerusalem,Jerusalem,moslems,37868,18671,19197
Jerusalem,Jerusalem,jews,3316,1778,1538
Jerusalem,Jerusalem,christians,974,387,587
Jerusalem,Jerusalem,others,0,0,0
Jerusalem,Jericho,all,3483,2170,1313
Jerusalem,Jericho,moslems,2949,1750,1199
Jerusalem,Jericho,jews,243,227,16
Jerusalem,Jericho,christians,263,170,93
Jerusalem,Jericho,others,28,23,5
Jerusalem,Ramallah,all,34775,16861,17914
Jerusalem,Ramallah,moslems,31377,15250,16127
Jerusalem,Ramallah,jews,0,0,0
Jerusalem,Ramallah,christians,3398,1611,1787
Jerusalem,Ramallah,others,0,0,0
Northern,ALL,all,291717,147024,144693
Northern,ALL,moslems,253042,126893,126149
Northern,ALL,jews,16646,9103,7543
Northern,ALL,christians,13463,6741,6722
Northern,ALL,others,8566,4287,4279
Northern,Tulkarm,all,41501,20988,20513
Northern,Tulkarm,moslems,40750,20502,20248
Northern,Tulkarm,jews,648,418,230
Northern,Tulkarm,christians,101,66,35
Northern,Tulkarm,others,2,2,0
Northern,Nablus,all,51517,25285,26232
Northern,Nablus,moslems,50831,24955,25876
Northern,Nablus,jews,4,4,0
Northern,Nablus,christians,681,325,356
Northern,Nablus,others,1,1,0
Northern,Jenin,all,38705,18907,19798
Northern,Jenin,moslems,37955,18540,19415
Northern,Jenin,jews,2,0,2
Northern,Jenin,christians,748,367,381
Northern,Jenin,others,0,0,0
Northern,Nazareth,all,19836,9656,10180
Northern,Nazareth,moslems,14793,7182,7611
Northern,Nazareth,jews,3093,1568,1525
Northern,Nazareth,christians,1939,896,1043
Northern,Nazareth,others,11,10,1
Northern,Beisan,all,12022,6372,5650
Northern,Beisan,moslems,9973,5196,4777
Northern,Beisan,jews,1862,1053,809
Northern,Beisan,christians,180,117,63
Northern,Beisan,others,7,6,1
Northern,Tiberias,all,18374,9573,8801
Northern,Tiberias,moslems,13901,7142,6759
Northern,Tiberias,jews,2404,1346,1058
Northern,Tiberias,christians,1169,627,542
Northern,Tiberias,others,900,458,442
Northern,Haifa,all,42245,22063,20182
Northern,Haifa,moslems,31500,16316,15184
Northern,Haifa,jews,7443,4053,3390
Northern,Haifa,christians,1347,697,650
Northern,Haifa,others,1955,997,958
Northern,Acre,all,37245,18989,18256
Northern,Acre,moslems,25829,13299,12530
Northern,Acre,jews,59,36,23
Northern,Acre,christians,6149,3066,3083
Northern,Acre,others,5208,2588,2620
Northern,Safad,all,30272,15191,15081
Northern,Safad,moslems,27510,13761,13749
Northern,Safad,jews,1131,625,506
Northern,Safad,christians,1149,580,569
Northern,Safad,others,482,225,257
