date	end	kind	label	scope	note	source
1929-08-23	1929-08-29	conflict	The 1929 riots	Palestine	Communal violence from Jerusalem outward; 133 Jews and 116 Arabs killed across the country. Haifa saw far less than Hebron or Safed, but the year is the hinge on which Mandate communal policy turned.	Shaw Commission Report (Cmd. 3530), 1930
1929-03-31	1929-03-31	health	St. Luke's mission hospital closes	Haifa	The Church Missionary Society hospital on Mountain Road shuts. Its premises are the ones the Government later rents; the register opens in them in 1930.	Palestine Bulletin, 11 Mar 1929
1930-10-20	1930-10-20	policy	Passfield White Paper	Palestine	Restricts Jewish immigration and land purchase in the wake of the Shaw and Hope Simpson reports; effectively withdrawn by the MacDonald Letter of Feb 1931.	Cmd. 3692
1932-01-01	1935-12-31	migration	The Fifth Aliyah	Palestine	The largest wave of the Mandate: roughly 200,000 arrivals 1932-1938, most in these four years, driven by the Nazi seizure of power. Haifa is the port of entry and its population roughly doubles in the decade.	Survey of Palestine (1946), vol. I ch. VI
1933-10-27	1933-10-27	conflict	The Jaffa demonstrations	Palestine	Arab general strike and demonstrations against immigration; police fire on crowds in Jaffa and Haifa. Among the first mass casualty events of the decade in Haifa itself.	Survey of Palestine (1946), vol. I
1933-08-25	1933-08-25	migration	The Haavara Agreement	Palestine / Germany	Transfer agreement enabling German Jews to move capital to Palestine as goods; underwrites much of the Fifth Aliyah's German component.	Survey of Palestine (1946), vol. II
1934-01-01	1934-12-31	disaster	Drought and the water crisis	Palestine	A severe dry year across the country; typhoid and dysentery seasons are reported worse than usual.	Report to the Council of the League of Nations, 1934
1933-10-31	1933-10-31	infrastructure	Haifa harbour opens	Haifa	The deep-water port is inaugurated after five years of construction, remaking the city's labour market and its population.	Report to the Council of the League of Nations, 1933
1935-01-01	1935-12-31	infrastructure	The IPC pipeline reaches Haifa	Haifa	The Iraq Petroleum Company line from Kirkuk terminates at Haifa; the refinery follows. Industrial injury enters the city's casualty pattern.	Report to the Council of the League of Nations, 1935
1935-11-20	1935-11-20	conflict	Izz al-Din al-Qassam killed	Ya'bad, near Jenin	The Haifa-based preacher is killed by police in the hills; his funeral in Haifa becomes a mass demonstration, and his death is generally read as a trigger of the Revolt.	Survey of Palestine (1946), vol. I ch. II
1936-04-19	1939-08-31	conflict	The Arab Revolt	Palestine	Three years of general strike, armed insurgency and British counter-insurgency. Haifa, its port and the refinery are repeatedly attacked; the Government Hospital is built through the whole of it.	Survey of Palestine (1946), vol. I ch. II
1936-04-19	1936-10-12	conflict	The general strike	Palestine	The Revolt's first phase: a six-month Arab general strike, with Haifa port at its centre.	Survey of Palestine (1946), vol. I
1937-07-07	1937-07-07	policy	The Peel Commission reports partition	Palestine	Recommends partitioning Palestine, with Haifa in the proposed Jewish state under temporary British mandate. Rejected by the Arab leadership; the Revolt resumes in September.	Cmd. 5479
1938-07-06	1938-07-25	conflict	The Haifa market bombings	Haifa	A series of bombings in the Arab market of Haifa, among the deadliest single incidents of the Revolt; scores killed and many more wounded, and the wounded go to the Government Hospital.	Palestine Post, July 1938
1939-05-17	1939-05-17	policy	The MacDonald White Paper	Palestine	Caps Jewish immigration at 75,000 over five years and restricts land transfer; the frame for the illegal-immigration years that follow.	Cmd. 6019
1939-09-01	1945-09-02	conflict	The Second World War	Global	Palestine becomes a rear base and, from 1940, a target. Military demand reshapes the Government Hospital's beds and staff.	Survey of Palestine (1946), vol. I
1940-07-24	1940-07-24	disaster	Italian air raid on Haifa	Haifa	Italian aircraft bomb the port and refinery area; dozens killed. The first of a series of raids on the city in 1940-1941.	Palestine Post, 25 Jul 1940
1940-09-09	1940-09-09	disaster	The heaviest raid on Haifa	Haifa	Italian bombing of the Haifa oil installations and adjacent quarters, the war's worst single day of civilian casualties in the city.	Palestine Post, 10 Sep 1940
1940-11-25	1940-11-25	disaster	The Patria sinks in Haifa bay	Haifa	The Haganah's charge intended to disable the deportation ship sinks it in the harbour; over 250 refugees and crew drown, and the survivors are landed at Haifa.	Survey of Palestine (1946), vol. I
