city	spelling	n_records	kima_id	kima_name_rom	wikidata_qid	qid_source	wikidata_direct	decision	grade	confidence	decided_by	note	date
Haifa	Haifa	1999	791	Haifa (Israel)	Q41621	kima-dump	Q41621	matched	C_review		agent	city, not the district entity	2026-08-06
Athlit	Athlit	1021	16036	Atlit (Israel)	Q757398	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Tireh	Tireh	268	756	Tirat Karmel (Israel)	Q168215	kima-dump	Q5712494	matched	outside-queue		human	user ruling: Tira/Tireh in this dataset = al-Tira (Tirat Karmel); held for human review: QID conflict - kima-dump Q168215 vs direct Wikidata Q5712494	2026-08-06
Hadera	Hadera	267	858	Hadera (Israel)	Q471886	kima-dump	Q471886	matched	C_review		agent		2026-08-06
Tiberias	Tiberias	142	807	Tiberias (Israel)	Q151920	kima-dump	Q151920	matched	C_review		agent		2026-08-06
Acre	Acre	90	71	Acre (Israel)	Q126084	kima-dump	Q126084	matched	C_review		agent		2026-08-06
Hadar Hacarmel	Hadar Hacarmel	88	21150	Hadar Hakarmel (Haifa, Israel)	Q2630079	kima-dump	Q2630079	matched	C_review		agent		2026-08-06
Kiryat Haim	Kiryat Haim	82	479	Kiryat Hayyim (Haifa, Israel)	Q2655674	kima-dump	Q112957897	matched	C_review		agent	held for human review: QID conflict - kima-dump Q2655674 vs direct Wikidata Q112957897	2026-08-06
Rameh	Rameh	69	77979	Rameh (Israel)	Q2915661	kima-dump	Q2915661	matched	outside-queue		human	user ruling: Rameh village (al-Rama, Galilee) is not Ramleh	2026-08-06
Afula	Afula	53	18417	Afula (Israel)	Q152462	kima-dump	Q152462	matched	A_autolink	0.95	auto		2026-08-06
Jaffa	Jaffa	44	629	Jaffa (Tel Aviv-Yafo, Israel)	Q180294	kima-dump	Q180294	matched	A_autolink		agent		2026-08-06
Kiryat Bialik	Kiryat Bialik	41	866	Kiryat Bialik (Israel)	Q152374	kima-dump	Q152374	matched	C_review		agent		2026-08-06
Zichron Yaakov	Zichron Yaakov	41	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump	Q198399	matched	C_review		agent		2026-08-06
Yajour	Yajour	35	771	Yagur (Israel)	Q586687	kima-dump		matched	C_review		agent	Yagur; Mandate romanization	2026-08-06
Affikim	Affikim	31	554	Afikim (Israel)	Q383280	kima-dump		matched	C_review		agent		2026-08-06
Tel Aviv	Tel Aviv	30	272	Tel Aviv-Yafo (Israel)	Q33935	kima-dump	Q33935	matched	A_autolink		agent	Tel Aviv-Yafo city, not the district entity	2026-08-06
Karkur	Karkur	28	19149	Karkur (Israel)	Q2475182	kima-dump	Q123685287	matched	A_autolink	0.95	auto	held for human review: QID conflict - kima-dump Q2475182 vs direct Wikidata Q123685287	2026-08-06
Bat Galim	Bat Galim	27	21063	Bat Galim (Haifa, Israel)	Q810685	kima-dump	Q810685	matched	A_autolink	0.95	auto		2026-08-06
Benyamina	Benyamina	27	21551	Binyamina (Israel)	Q863886	kima-dump		matched	C_review		agent		2026-08-06
Safad	Safad	27	377	Tsefat (Israel)	Q188336	kima-dump	Q188336	matched	A_autolink	0.95	auto		2026-08-06
Tel Amal	Tel Amal	27	7	Nir David (Israel)	Q943058	kima-dump		matched	C_review		human	kibbutz Tel Amal = Nir David (split from Kiryat Amal)	2026-08-06
Herzlia	Herzlia	26	700	Herzeliyya (Israel)	Q152491	kima-dump	Q152491	matched	A_autolink	0.95	auto		2026-08-06
Kiryat Motzkin	Kiryat Motzkin	25	481	Kiryat Motzkin (Israel)	Q152567	kima-dump	Q152567	matched	C_review		agent		2026-08-06
Pardess Hanna	Pardess Hanna	25	160	Pardes Hanna-Karkur (Israel)	Q2475182	kima-dump		matched	C_review		agent	Kima has only the merged Pardes Hanna-Karkur entity	2026-08-06
Nahalal	Nahalal	24	38	Nahalal (Israel)	Q1724338	kima-dump		matched	C_review		agent		2026-08-06
Nazareth	Nazareth	23	18	Nazareth (Israel)	Q430776	kima-dump	Q430776	matched	A_autolink	0.95	auto		2026-08-06
Jerusalem	Jerusalem	22	691	Jerusalem (Israel)	Q1218	kima-dump	Q1218	matched	C_review		agent	city entry, not sancak/East	2026-08-06
Kfar Vitkin	Kfar Vitkin	20	825	Kefar Vitkin (Israel)	Q2495402	kima-dump		matched	C_review		agent		2026-08-06
Tulkarem	Tulkarem	16	73472	Tulkarem (West Bank)	Q985531	kima-dump	Q985531	matched	C_review		agent		2026-08-06
Yavniel	Yavniel	15	18477	Yavne'el (Israel)	Q1676894	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Zichron Jacob	Zichron Jacob	15	8254	Zikhron Ya'akov (Israel)	Q198399	kima-dump		matched	C_review		agent		2026-08-06
Ardel Yahud	Ardel Yahud	14						unmatched-no-kima-entry	C_review		agent	Ard el-Yahud, Haifa's old Jewish quarter	2026-08-06
Bethania	Bethania	13	16157	Betanyah (Israel)				matched	A_autolink		human	Bitanya above Lake Kinneret	2026-08-06
Ein Harod	Ein Harod	11	12370	En Harod (Israel)	Q1339887	kima-dump		matched	A_autolink	0.95	auto		2026-08-06
Kfar Ata	Kfar Ata	11	477	Kiryat Ata (Israel)	Q152602	kima-dump	Q152602	matched	C_review		agent	Kfar Ata = pre-1965 name of Kiryat Ata	2026-08-06
Kibutz Affikim	Kibutz Affikim	10	554	Afikim (Israel)	Q383280	kima-dump		matched	C_review		agent		2026-08-06
Nesher	Nesher	10	20	Nesher (Israel)	Q135432	kima-dump	Q135432	matched	C_review		agent		2026-08-06
Yokneam	Yokneam	10	18301	Yokne'am (Israel)	Q2890709	kima-dump	Q167582	matched	A_autolink	0.95	auto	held for human review: QID conflict - kima-dump Q2890709 vs direct Wikidata Q167582	2026-08-06
Ahuza	Ahuza	8	21015	Ahuza (Haifa, Israel)	Q4159159	kima-dump	Q2889211	matched	A_autolink	0.95	auto	held for human review: QID conflict - kima-dump Q4159159 vs direct Wikidata Q2889211	2026-08-06
Ain Harod	Ain Harod	8	12370	En Harod (Israel)	Q1339887	kima-dump		matched	C_review		agent	generic En Harod; Ihud/Me'uhad split is post-1948	2026-08-06
Dejania	Dejania	8	892	Deganya Alef (Israel)	Q2371396	kima-dump		matched	C_review		human	unqualified Degania read as Alef	2026-08-06
Kfar Hassidim	Kfar Hassidim	8	830	Kefar Hasidim (Israel)	Q135425	kima-dump	Q135425	matched	C_review		agent		2026-08-06
Kineret	Kineret	7						unmatched-ambiguous	C_review		human		2026-08-06
Nahariya	Nahariya	7	39	Nahariyya (Israel)	Q167749	kima-dump	Q167749	matched	A_autolink	0.95	auto		2026-08-06
Neveh Shaanan	Neveh Shaanan	7	21497	Neve Sha'anan (Haifa, Israel)	Q2919842	kima-dump		matched	C_review		agent	Haifa's Neve Sha'anan (catchment)	2026-08-06
Benjamina	Benjamina	6	21551	Binyamina (Israel)	Q863886	kima-dump		matched	C_review		agent		2026-08-06
Emek	Emek	6						unmatched-ambiguous	C_review		human	region nickname without clean referent	2026-08-06
