issue_id	host_title	place	date	volume	issue	page_ids	page_captions	hits	record_id
7498015	Yediʿot shel Irgun Yotsʾe Shlezyah ʿIlit be-Yiśraʾel	Tel-Aviv	1965-01		1	7413544;7413546	[Seite];[Seite]	2	363670262
12957174	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1934-11			12957364;12957366;12957367;12957368;12957369;12957370;12957371;12957372;12957373;12957374	[Seite];Seite 1;Seite 2;Seite 3;Seite 4;Seite 5;Seite 6;Seite 7;Seite 8;Seite 9	15	048258784
7413555	Yediʿot shel Irgun Yotsʾe Shlezyah ʿIlit be-Yiśraʾel	Tel-Aviv	1965-12		3	7413556;7413557;7413558;7413559;7413560	[Seite];Seite 2;Seite 3;Seite 4;Seite 5	5	363670262
12688129	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1935-10			12688130;12688131;12688132;12688133;12688134;12688135;12688137;12688138;12688141;12688147	[Seite];[Seite];Seite 1;Seite 2;[Seite];Seite 4;Seite 6;Seite 7;Seite 10;Seite 16	25	048258784
12710868	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1936-02		1	12710870;12710871;12710872;12710873;12710875;12710877;12710878;12710879;12710880;12710881	[Seite];Seite 1;Seite 2;[Seite];Seite 5;Seite 7;Seite 8;Seite 9;Seite 10;Seite 11	19	048258784
12957522	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1934-08			12957271;12957273;12957274;12957275;12957276;12957277;12957278;12957279;12957280;12957281	Seite 2;Seite 4;Seite 5;Seite 6;Seite 7;Seite 8;Seite 9;Seite 10;Seite 11;Seite 12	10	048258784
12724057	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1937-03			12723093;12723095;12723096;12723098;12723099;12723100;12723101;12723103;12723105;12723106	[Seite];Seite 2;Seite 3;Seite 5;Seite 6;Seite 7;Seite 8;Seite 10;Seite 12;Seite 13	11	048258784
12711006	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1936-04		2	12711007;12711008;12711009;12711010;12711011;12711014;12711015;12711017;12711019;12711020	[Seite];[Seite];Seite 1;Seite 2;[Seite];Seite 6;Seite 7;Seite 9;Seite 11;Seite 12	12	048258784
12688166	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1935-11			12688167;12688168;12688170;12688173;12688174;12688175;12688176;12688177;12688178;12688179	[Seite];[Seite];Seite 2;Seite 5;Seite 6;Seite 7;Seite 8;Seite 9;Seite 10;Seite 11	20	048258784
12687724	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1935-02			12687725;12687727;12687728;12687734;12687735;12687736;12687737;12687738;12687739;12687741	[Seite];Seite 1;Seite 2;Seite 8;Seite 9;Seite 10;Seite 11;Seite 12;Seite 13;Seite 15	16	048258784
12688199	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1935-11			12688200;12688201;12688202;12688203;12688205;12688206;12688210;12688211;12688212;12688213	[Seite];[Seite];Seite 1;Seite 2;Seite 4;Seite 5;Seite 9;Seite 10;Seite 11;Seite 12	19	048258784
12724041	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1937-02			12723047;12723048;12723049;12723050;12723051;12723056;12723058;12723059;12723060;12723064	[Seite];Seite 1;Seite 2;Seite 3;Seite 4;Seite 9;Seite 11;Seite 12;Seite 13;[Seite]	11	048258784
12688086	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1935-09			12688087;12688088;12688089;12688090;12688095;12688101;12688102;12688104;12688107;12688108	[Seite];[Seite];Seite 1;Seite 2;Seite 7;Seite 13;Seite 14;Seite 16;Seite 17;Seite 18	17	048258784
