issue_id	host_title	place	date	volume	issue	page_ids	page_captions	hits	record_id
12762966	MB	Tel-Aviv	1949-07-01	13	26	12758375;12758378	Seite 7;Seite 10	2	048258784
12867103	MB	Tel-Aviv	1959-05-29	27	22	12867111	Seite 12	1	048258784
12937477	MB	Tel-Aviv	1987-03	55	22	12937505	Seite 4	1	048258784
12769059	MB	Tel-Aviv	1951-01-05	15	1	12760448	Seite 3	1	048258784
12849246	MB	Tel-Aviv	1952-01-25	16	4	12849274	Seite 8	1	048258784
12892895	MB	Tel-Aviv	1973-01-12	41	2	12892899	Seite 4	1	048258784
12762878	MB	Tel-Aviv	1948-07-16	12	29	12757860	Seite 7	1	048258784
12779527	MB	Tel-Aviv	1958-11-14	26	46	12779586	Seite 4	1	048258784
12853596	MB	Tel-Aviv	1953-07-24	21	30	12853600	Seite 4	1	048258784
12885736	MB	Tel-Aviv	1967-08-11	35	31	12885746	Seite 10	1	048258784
12946555	MB	Tel-Aviv	2004-06	72	192	12946657	Seite 9	1	048258784
12769114	MB	Tel-Aviv	1951-12-21	15	51	12760959	Seite 3	1	048258784
12762978	MB	Tel-Aviv	1949-09-22	13	38	12758507	Seite 15	1	048258784
12930699	MB	Tel-Aviv	1983-09-07	51	34/35	12930859	Seite 12	1	048258784
