issue_id	host_title	place	date	volume	issue	page_ids	page_captions	hits	record_id
12762867	MB	Tel-Aviv	1948-04-29	12	18	12757755;12757756;12757757;12757759;12757760;12757761;12757762	[Seite];Seite 2;Seite 3;Seite 5;Seite 6;Seite 7;Seite 8	7	048258784
12742379	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-03-08	4	10	12740468;12740471;12740472;12740474;12740475;12740476	Seite 2;Seite 3;Seite 4;Seite 6;Seite 7;Seite 8	6	048258792
12866979	MB	Tel-Aviv	1959-02-27	27	9	12866981;12866982;12866983;12866984;12866985	Seite 2;Seite 3;Seite 4;Seite 5;Seite 6	5	048258784
12663164	MB	Tel-Aviv	1945-08-24	9	34	12663166;12663169;12663171;12663172	Seite 2;Seite 5;Seite 7;Seite 8	4	048258784
12765386	MB	Tel-Aviv	1950-03-17	14	11	12760008;12760009;12760010;12760011;12760013;12760014;12760015;12760016;12760017	[Seite];Seite 2;Seite 3;Seite 4;Seite 6;Seite 7;Seite 8;Seite 9;Seite 10	9	048258784
12762853	MB	Tel-Aviv	1948-01-23	12	4	12757604;12757605;12757606;12757611;12757612	Seite 2;Seite 3;Seite 4;Seite 9;Seite 10	5	048258784
2424696	Jüdische Weltrundschau	Jerusalem	1940-03-11	2	10	2425219;2425220	Seite 3;Seite 4	2	issue-35459
12930507	MB	Tel-Aviv	1983-02-11	51	6	12930586	Seite 8	1	048258784
12859506	MB	Tel-Aviv	1954-06-18	22	25	12859508;12859510;12859511;12859512;12859513;12859514	Seite 2;Seite 4;Seite 5;Seite 6;Seite 7;Seite 8	6	048258784
12931080	MB	Tel-Aviv	1984-03-16	52	11	12931082;12931083;12931084;12931086;12931088	Seite 2;Seite 3;Seite 4;Seite 6;Seite 8	5	048258784
12853672	MB	Tel-Aviv	1953-05-08	21	19	12853833;12853834;12853835;12853838	[Seite];Seite 2;Seite 3;Seite 6	4	048258784
12842969	MB	Tel-Aviv	1969-04-11	37	15	12842974;12842976;12842980;12842981;12842982	Seite 2;Seite 4;Seite 6;Seite 7;Seite 8	5	048258784
12930990	MB	Tel-Aviv	1984-01-06	52	1	12930992;12930994	Seite 2;Seite 4	2	048258784
12865351	MB	Tel-Aviv	1955-07-15	23	28	12865617;12865618;12865619;12865620;12865622;12865623	[Seite];Seite 2;Seite 3;Seite 4;Seite 6;Seite 7	6	MB_1955_20221022_B_1955_28
12930699	MB	Tel-Aviv	1983-09-07	51	34/35	12930849;12930851;12930852;12930853;12930854;12930855;12930856;12930857;12930858;12930859	Seite 2;Seite 4;Seite 5;Seite 6;Seite 7;Seite 8;Seite 9;Seite 10;Seite 11;Seite 12	23	048258784
12892100	MB	Tel-Aviv	1972-10-27	40	43	12892101;12892102;12892103;12892107	[Seite];Seite 2;Seite 3;Seite 7	4	048258784
12867076	MB	Tel-Aviv	1959-05-08	27	19	12867079;12867081;12867082;12867083;12867085	Seite 3;Seite 5;Seite 6;Seite 7;Seite 8	5	048258784
12865333	MB	Tel-Aviv	1955-02-25	23	8	12865466;12865467;12865470;12865471;12865472	Seite 2;Seite 3;Seite 6;Seite 7;Seite 8	5	MB_1955_20221022_B_1955_08
12885369	MB	Tel-Aviv	1962-12-14	30	50	12885370;12885371;12885372;12885376	[Seite];Seite 2;Seite 3;Seite 7	4	048258784
12839960	MB	Tel-Aviv	1965-01-15	33	3	12839975;12839978;12839979;12839983	Seite 2;Seite 5;Seite 6;Seite 10	4	048258784
12933417	MB	Tel-Aviv	1984-08-24	52	34	12933425	Seite 8	1	048258784
12946133	MB	Tel-Aviv	2002-02	70	170	12946165;12946166;12946167	Seite 8;Seite 9;Seite 10	3	048258784
12885981	MB	Tel-Aviv	1970-04-10	38	15	12886120	Seite 8	1	048258784
12937020	MB	Tel-Aviv	1985-02-15	53	7	12937096;12937102	Seite 2;Seite 5	2	048258784
12842096	MB	Tel-Aviv	1968-03-15	36	11	12842098;12842099;12842104	Seite 2;Seite 3;Seite 8	3	048258784
12840680	MB	Tel-Aviv	1966-01-14	34	2	12840682;12840687;12840690	Seite 2;Seite 7;Seite 10	3	048258784
12840789	MB	Tel-Aviv	1966-03-11	34	10	12840797;12840799;12840803	Seite 5;Seite 6;Seite 9	3	048258784
12893113	MB	Tel-Aviv	1973-08-03	41	30	12893198	Seite 6	1	048258784
12945615	MB	Tel-Aviv	1999-10	67	148	12945711;12945716	Seite 2;Seite 7	2	048258784
12840409	MB	Tel-Aviv	1965-09-03	33	36	12840410;12840416;12840421	[Seite];Seite 7;Seite 12	3	048258784
12841882	MB	Tel-Aviv	1966-11-04	34	44	12841889;12841890	Seite 7;Seite 8	2	048258784
12842063	MB	Tel-Aviv	1968-02-23	36	8	12842065	Seite 2	1	048258784
12840344	MB	Tel-Aviv	1965-07-30	33	31	12840352	Seite 8	1	048258784
