date	pub	page_id	window
1941-01-07	pls	pls19410107-01.1.3	…price war , selling . the juice , as fast as they could work their squeezers , at the price of one mil 1 a glass . Cheaper than water was their war . cry Death . —The body of Issa Awadeh Kadoush , of Haifa , was found on the seashore near the Government Hospital in Haifa , yesterday . Death is believed to . nave been self-in-flicted . Coat . — Ahmed Mohammed Shehadeh was arrested 141 Hadar Hacarmel on a charge of . _pt-alaig an overcoat from a car in Hehalut…
1941-01-08	pls	pls19410108-01.1.3	… a stray bullet during an inspection by an N . C . O ., and taken to the Hadassah Hospital . pn hired . —Mahmud Rashid 120 ) , was injured in the foot by falling planks at the I . P . C . Workshops , Haifa , yesterday afternoon . He was taken to the Government Hospital by a Red Shield Ambulance . Oil—Found , guilty of selling adulterated oil , Haj Hassan Zmatana . of Lifta , was _yestonlay sentenced to one month s imprisonment with the alternative of a LP 3 fine by…
1941-01-09	pls	pls19410109-01.1.3	… , Kiryat Motzkin . Kiry _. m . Haim , Kiryat Ha _ shmal , Kiryat _Frostig , Kiryat Benyamin , Kfar Ata . Isfiya , Daliyat al Carmel , El Kababir , Et Tira , Bated esh Sheikh , and Yajur , all in the Haifa district . Lorry . . — Zusia Jacob ( 25 ) , a lorry driver , and Miriam _Suternian ( 80 ) were admitted to the Jerusalem Government Hospital yesterday suffering severe body injuries a . s a re- . _sulf of a road accident . The lorry in which they were traveling overturned near Kiryat Anavim on the Jeru . salem-Jaffa Road . Garbage . —For …
1941-01-09	pls	pls19410109-01.1.3	…h official bodies and various organizations . The death took place on Tuesday night of Police Inspector James D . ( Jimmy ) Hollis , of _th-ei Palestine Police Force , who passed away suddenly at the Government Hospital in Haifa , at the of 48 . age The late Inspector Hollis , who was last stationed at the Acre Central Prison , had seen long service with the Police , having formerly served with the British Gendarmerie . He w…
1941-01-19	pls	pls19410119-01.1.3	…asion _. rogramme WOMAN KILLED IN FALL FROM ROOF Mrs . Walda Levy ( 27 . ) was dntantly killed on Friday when ie fell off the roof of a house • the Gan Rehavia Quarter , Jeisalem . Mrs . who lived in Haifa , Levy ad a note pinned , on her coat with er name and address . The bod ? as taken to the Hadassah Hosital , from where it was transferred 5 the Government Hospital morjary . IAGISTRATES FOR TRANSFER Among Magistrates due for transfer t the end of this month are Aziz Eff . arjura , who will go from Safad to Acre , _ah-h Eff . Abdul r . Levi , from Jerusalem to T…
1941-01-24	pls	pls19410124-01.1.3	…lined between . 300 mils and L . 500 by- the Magistrate , Mr _ tafa Parwr = _i :. wa _^ seriously _ied yesterday when her clothing dentally caught fire from a e at her parents _hou-re in AMenStreet . Haifa . She w ¦ :, admi . tei he Government Hospital . ¦ _- . - All -rices o , : _» tne winter -is- whh-h _deposited ro _. -k . s an i 1 in tha _sirea _ s ha * - - ? now been rovedand traffic can now - , pro i unhindered in Tiberias . > • . — About LP …
1941-02-02	pls	pls19410202-01.1.3	…s , attempted to dissuade him . Failing to do so , they shot him Villagers testified that in the victim s dying statement , he identified the men as his murderers . 3 ! f * _GOLDIN BODY WASHED ASHORE HAIFA , Saturday . —The body of an unclad man was washed ashore yesterday at Haifa Bay near the kishon River . He was taken to the Government Hospital where he has not yet been identified . He is believed to be an Arab . ft \ \ L I I ill _p _^ p _^^ 1 J iI *» : _i • f j I _^ _Tttf _T * i . : ! 9 _r-ALKOWJT li \ TEXTILE FOR 7 ] _& X _OXIA _* ii ,. _…
1941-02-12	pls	pls19410212-01.1.3	…he town today . The proud families were told that all the men were in good health and happy and would soon have some leave . The authorities were very pleased with their work . MAN FOUND DEAD AT ACRE HAIFA . Tuesday . — The body of Mohamed Atiyeh Daghish ( 40 ) was found at the beach at Acre this morning . Medical examinations at the Government Hospital showed thai death was due to an attack of heart failure . He was buried at the Moslem cemetery by the Municipality . iu : i ,, \ Tivi : s sor rder io effect the - _neeessary arrange ments for their r…
1941-02-18	pls	pls19410218-01.1.2	…r Lgypt on six weeks leave . During his absence , the Chief Clerk of the _Supreme Court . Mr . Michael Cotran , will be _Acting-Registrar . * Mr . H . G . Assistant Press Gray , Censor , has left the Government Hospital at Jaffa after a long illness end has resumed his duties . * The Jerusalem Post Office Club on Saturday evening entertained Post Office men from Haifa at a dinner and dance held in the decorated Main Hall of the General Post Office . The Post Master General , Mr . G . H . Webster . O . B . E ., headed the senior officials who were present , and the…
1941-02-24	pls	pls19410224-01.1.2	…omen s Organization , on Saturday night , March 8 , and other organizations are asked to note the date . BIRTH HAMILTON . -- To Hetty , wife of Mr . R . W . Hamilton , on Saturday , Feb . 22 , at the Government Hospital , Jerusalem — a son . EXPRESSION OF THANKS Mrs . G . Kauffmanns Haifa , and her children , gratefully acknowledge the many expressions of condolence and sympathy extended to them in their recent bereavement . SECOND YOUTH CONCERT Two performances of the second youth co…
1941-03-21	pls	pls19410321-01.1.3	…( Sgd . ) J THREE INJURED IN OVERTURNED CAR HAIFA , Thursday . — British Constable Taylor , Moshe Rudman , and Aviv Sverdlov . were all slightly injured when a car overturned near Tel Amal Quarter in Haifa last night . Constable Taylor was taken to the Government Hospital by a Red Shield Ambulanceandthe others , ; sent home after receiving first aid treatment . 7 NO SQUATTERSRIGHTS FOR BEDUIN ENCAMPMENT NATHANYA , Thursday . — Judgment in favour of the Jewish National…
1941-04-01	pls	pls19410401-01.1.3	…st bid ) . All Land Registry and Auction Fees will be defrayed by the purchaser . Dated : 31 / 3 / 41 . ( Sgd . ) Execution Officer , District Court .. LADY FLORENCE DOWNES DEAD DONOR OF ALLENBY PARK HAIFA , Monday . — We regret to announce the death at Government Hospital here this afternoon , after a short illness , of Lady Florence M . Downes , widow of the late Sir Arthur Downes , at the of 73 . age The funeral will take place at the Old British Cemetery , Jaffa Ro…
1941-04-24	pls	pls19410424-01.1.3	…ntly killed in a fall from a third floor balcony of the Hotel Edison at 6 Rehov Hashomer today . It is understood that she had come from Rehovoth to visit a - psy chiatrist . BOY DIES OF BULLET WOUND HAIFA , Wednesday . — Hassan Mohammed Suleiman el Hanue ( 18 ) a Druze of Jules village ( Acre sub-district ) died today at the Government Hospital of a bullet wound in the leg accidentally inflicted by ( himself two days ago . It that the accident ocappears curred in the village when the boy was handling the weapon , with which he was unfamilia…
