date	pub	page_id	window
1943-08-17	ahr	ahr19430817-01.2.31	…ח. וייצמן. נמצאה גווייה ח י ?ה, יום בי. — בשרק, במורח העיר נמצא ח אמש גווייתו שי פישט־ יד ערבי. זהותו לא נקבעה הועבר אל בית־החולים הממשלתי. בסביבות עכי פגעה מכונית צבאית בחםן אחמד _שהאדה, שנפצע ותועבר לביח־החוליס הממשלתי בחיפה מצבו אמד ברור. פגיעה קטלנית ברחי חג'אז פגעת מכתיתימשא נהוגה בידי משח מיכאל _בחםנה חסן חמדן' בת ‭. 8‬מתה מפצעיה בדדד לבי…
1943-09-03	ahr	ahr19430903-01.2.53	"…ו חודשיים מאסר. התנקשות במוצאי י ם ד' התנקשו 2 אלמונים בעבד אל לטיף דאשיד בשוק הערבי , ירו בו ופצעוהו. הפצוע ד. ־ בל אד בית־החולים הממשלתי. תורנות בבחי""מרקחת ליל שבת: מסדה, רח' מסדה ‭. 30‬ שבת: רפופורט, הרצל ‭. 29‬הר־הכרמל: ""אחוזה‭. ''‬מיפרץ־חיפה: ""ביאליק‭"". ‬ חיילים מנגנים ונוספר""ם היום‭, , "". ‬ כ־5 אחה'יצ ובמוצ""יס ב־‭6. 30‬ חנגן ב""גן־בנימין"" התזמורת ו של החיילים…"
1943-10-05	ahr	ahr19431005-01.2.36	"…. צריך להיות: אישיות, חשאיות. קרבן התפוצצות עלי _אזזמד מוטה' ריעה בן ‭, U‬ :פצע קשה עקב התפוצצות ליד יק־ נעט. מת מפצעיו בבית־החולים המג־ שלחי בחיפה. דוקר - לכבוד ""חד, ערבי שפצע בדקירות את אחותו, בקנאו לכבוד המשפחה, נעצר ביום ד' עיי השופט מר אחמד בק ל־14 יום. אופיום כ…"
1943-12-02	ahr	ahr19431202-01.2.30	"…:(‬ ושבו ניתן ריפוי הוספיטאלי שיטתי לזקוקים לכך, תקציבו השנתי של המוסד מגיע ל־‭25. 000‬ לא""י בערך. בית־הבראד, זה יחד עם ביה""ח הדסה בצפת הם המוסדות הציבוריים _היתידים שעלי ־ הם רובץ כל עול ההוספיטאליזציה של חולי השחפת בארץ , ג) ת מ נ עד, לילדים על הד־ הכרמל בחיפה' _נפחחה שוב בקייץ האחרון וממלאה בהצלחה את תפקידה רב־החשיבות — לתת הבראה לילדים חלושי־גוף עםכנת השחפת צפו־ ייה להם שבוע …"
1944-04-06	ahr	ahr19440406-01.2.69	…_אדכסנדד ‭\?‬ו_>_ידבד_\ד כתוצאה מתאונה _בעבוחד, בבתי־הזי־ קוק בחיפה, קיפח את חייו היום (יום די) הפועל אלכסנדר גולדברגר. גופתו הועברה אל בית־החולים הממשלתי. תופפת כעד שעות נופפות — הוועד הפועל החליט על תוספת שכר בעד שעות נוספות בשיעור של 25 אחוזים לפועלי נגריית המשרד…
1944-06-06	ahr	ahr19440606-01.2.75	…שוטר אנגלי נדהר בחיפה חיפה, _יים בי. — חשוטר האנגלי ג־רן לבוש אזרחית נדקר ב־3 דקי ־ דות־סכין עמוקות אמש בחיפה !בקצה רה' השומר ל־ד. ־ ־ב־נת _איד־_^ל־יודה. הדוקר דיבר ערבית. השוטר הפ־ צוע הגיע _לתחנת־משטרה ומשם נא־ סף זיל _בית־החולים הממשלתי.…
1944-09-20	ahr	ahr19440920-01.2.53	"…‭_0 2‬גת' ד_3ר בח""פד. חיפה, יום ‭—. a‬ עוד _זורבעה חד לי דבר הובאו בימים תץ. הרוניפ אל בית־החולים הממשלתי בחיפה. 2 מהם מתו. מיםפו מתי הדבר עד כה מגיע _ל־1נ ‭9}‬ ערבים‭1, ‬ יהודי, 1 אנגלי‭. ( ‬…"
1944-10-03	ahr	ahr19441003-01.2.53	"…משלתי המחוזי משכם. היו התייעצויות של כ""כ היישובים בסביבה עם שלטונות הבריאות ביבר מניעת התפשטותה של המחלה. עוד חזרה דבד בחיפה חיפה, יום , בי‭—. ‬ עוד חולה דבר, ערבי הובא _ביוס א' אי י בית־החולים ' הממשלתי בחיפה.…"
1944-10-22	ahr	ahr19441022-01.2.53	…, ‬ ערבים ויהודי אחד, הגר ברח' _בךיהודה בהדר־הכרמל, הלו בובר והובאו היום אל בית החדלים הממשלחי (סבורים, כי היהודי חלד, בחיפה תחתית. יוסף מזרחי מרח' השלוח בהוד הכרמל, בן ‭, 6‬חלד. לפני כמה ימים בדבר והובא אל בית החולים . _זזשמשלתי.…
1944-11-29	ahr	ahr19441129-01.2.50	"…גן הירכיים. פנינה קאופמן מקיבוץ געתין (בהריה) נכוותה בהחםוצץ דוד מים רותתים, שלושת הנפגעים נאספו ע""י . מגן דוד אדרס"" אי בית החולים רוטשילד בחיפה.…"
