issue_id	host_title	place	date	volume	issue	page_ids	page_captions	hits	record_id
12937929	MB	Tel-Aviv	1990-06	58	59	12937980	Seite 2	1	048258784
12927440	MB	Tel-Aviv	1981-09-25	49	37/38	12927516	Seite 11	1	048258784
12885970	MB	Tel-Aviv	1970-01-23	38	4	12886027	Seite 3	1	048258784
12893854	MB	Tel-Aviv	1977-10-28	45	40	12899788	Seite 6	1	048258784
7371048	Bericht des Hauptbüros des Keren Hajessod an den XVIII. Zionistenkongreß in Prag, August 1933, für die Jahre 5691-5693 (1931-1933)	Jerusalem				7371073	Seite 22	1	348354851
12727524	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1939-12-22			12724982	Seite 5	1	048258792
12742426	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-09-20	4	38	12740735	Seite 2	1	048258792
12891884	MB	Tel-Aviv	1972-05-12	40	18	12891892	Seite 8	1	048258784
10407099	Jüdische Weltrundschau	Jerusalem	1939-12-22	1	28	10407070	Seite 5	1	126389322
12842969	MB	Tel-Aviv	1969-04-11	37	15	12842980	Seite 6	1	048258784
12762867	MB	Tel-Aviv	1948-04-29	12	18	12757755	[Seite]	1	048258784
12775418	MB	Tel-Aviv	1958-06-06	26	23	12775447	[Seite]	1	048258784
12749834	MB	Tel-Aviv	1944-06-02	8	22	12744926	Seite 8	1	048258784
12885558	MB	Tel-Aviv	1967-04-14	35	15	12885561	Seite 3	1	048258784
12853660	MB	Tel-Aviv	1953-02-06	21	6	12853722	Seite 6	1	048258784
12712220	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1936-02		2	12710918	Seite 19	1	048258784
