n	id	date	publication	title	snippet	forms
1	ahr19430817-01.2.31	17 August 1943	ahr	ןנננל &#8237;3 !&#8236; נ _ח_^רץ	"<div class=""txtsearchsnippet"">... שי פישט־ יד ערבי. זהותו לא נקבעה הועבר אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> בסביבות עכי פגעה מכונית צבאית בחםן אחמד _שהאדה, ...</div>"	maqaf
2	ahr19430903-01.2.53	3 September 1943	ahr	1_ע&#8237;_3 _^1&#8236;ל ה_^רץ |	"<div class=""txtsearchsnippet"">... , ירו בו ופצעוהו. הפצוע ד. ־ בל אד <b class=""highlightcolor"">בית־החולים הממשלתי.</b></div>"	maqaf
3	ahr19430919-01.2.9	19 September 1943	ahr	1מס3 ד_^רץ1	"<div class=""txtsearchsnippet"">... לפני _כחדשיים ע""י חיים זאלסקי , ןות ביום ד' <b class=""highlightcolor"">ביה""ח הממשלתי.</b> קנס _ודכרי־מושר לקצב עבריין זאב אםאטאנוביץ‭, _'‬שברשותו נמצא ...</div>"	abbreviated
4	ahr19431011-01.2.32	11 October 1943	ahr	נ_5ד_3_נדח_^_רץ	"<div class=""txtsearchsnippet"">התנגשות והפלה אמבולנס של <b class=""highlightcolor"">_בית־החולים הממשלתי</b> נתחלק והתנגש במכונית טאקסי. בהו־ רה שעמדה לשכור ...</div>"	maqaf
5	ahr19440406-01.2.69	6 April 1944	ahr	_אדכסנדד &#8237;\?&#8236;ו_>_ידבד_\ד	"<div class=""txtsearchsnippet"">... היום (יום די) הפועל אלכסנדר גולדברגר. גופתו הועברה אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> תופפת כעד שעות נופפות — הוועד הפועל החליט ...</div>"	maqaf
6	ahr19440606-01.2.75	6 June 1944	ahr	שוטר אנגלי נדהר בחיפה	"<div class=""txtsearchsnippet"">... השוטר הפ־ צוע הגיע _לתחנת־משטרה ומשם נא־ סף זיל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b></div>"	maqaf
7	ahr19440627-01.2.62	27 June 1944	ahr	שלום ליהורי רודוס חיפהום במכתב	"<div class=""txtsearchsnippet"">... חיים, לאחר שהמשטרה הגיעה למקום, הועברה הגופה לבדיקה אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> משערים כי הצעירה איבדה את עצמה לדעת בבליעת ...</div>"	maqaf
8	ahr19440920-01.2.53	20 September 1944	ahr	"&#8237;_0 2&#8236;גת' ד_3ר בח""פד."	"<div class=""txtsearchsnippet"">... _זורבעה חד לי דבר הובאו בימים תץ. הרוניפ אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. 2 מהם מתו. מיםפו מתי הדבר עד ...</div>"	maqaf
9	ahr19441003-01.2.53	3 October 1944	ahr	משבחה בת 4 !נשות נוגעה בדבר	"<div class=""txtsearchsnippet"">... עוד חולה דבר, ערבי הובא _ביוס א' אי י <b class=""highlightcolor"">בית־החולים ' הממשלתי</b> בחיפה.</div>"	maqaf
10	ahr19441013-01.2.75	13 October 1944	ahr	_Ttetun בב'ת־המלאכה של >ד.ד_03־_2	"<div class=""txtsearchsnippet"">... העשן, רק בעבור חצי שעד, הוצא משם וגשלח אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> יתד עם שאר חמשת הנפגעים. שנייס מהם נשלחו ...</div>"	maqaf
11	ahr19450105-01.2.93	5 January 1945	ahr	"מה&#8237;11;_'&#8236;_־ם עזרה ל""המועל"""	"<div class=""txtsearchsnippet"">... 2 ערבים מתושבי חיפה במחלת הדבר והו־ באו אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> מיספר האנשים שהלו עד כה בדבר בחיפה מגיע ...</div>"	maqaf
12	ahr19450527-01.2.59	27 May 1945	ahr	_אבדהם &#8237;7r»&#8236;•	"<div class=""txtsearchsnippet"">... לא הועיל והמתאבד מת. המשטרה אספה"" את גופתו אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> עלה ארצה מהונגריה. דייר בקריית־ חיים. עבד בחברת ...</div>"	maqaf
13	ahr19450812-01.2.61	12 August 1945	ahr	_עויכו&#8237;1»1!&#8236;שלתי בספרים ערבים	"<div class=""txtsearchsnippet"">... ליו משמר־הים מאוטובוס ציבורי שנסע לנהריה. גופתו נאספה אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> בן ‭. 50‬ שכתי לוי, ראש עירייה חיפה, ...</div>"	maqaf
14	ahr19451102-01.2.71	2 November 1945	ahr	חבלות \דולות בכל ק ! ו ' מס ילות הבלול &#8237;w*3&#8236;־p	"<div class=""txtsearchsnippet"">... הוא : יעקב גולדברג (גרינברג ‭, (?‬הגרפה נאספה אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפד‭., ‬ עפולה ורהוכות על־יו עפולה פוצצו הלילה ...</div>"	maqaf
15	ahr19451202-01.2.48	2 December 1945	ahr	התנגשות בין מ כ זנית וקטר בנמל חיפה חי פה שבת מכונית ובה חיילים	"<div class=""txtsearchsnippet"">... ו' בקטר בשטח הנמל. ד חיילים שנפצעו, נאספו אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> הנהג, יתודי , שנפצע אף הוא, נעצר לצורכי ...</div>"	maqaf
16	ahr19460227-01.2.22	27 February 1946	ahr	_מםדדוב• _הצדק _זשחודינ &#8237;_ £1 &#8236;	"<div class=""txtsearchsnippet"">... "" מיגרש הרובים‭, ""‬ אין עליו לטרות כלל, שהרי <b class=""highlightcolor"">_בית־החולים הממשלתי</b> אף הוא כאן, לשמאלו של בניין המשפט. — ...</div>"	maqaf
17	ahr19460307-01.2.45	7 March 1946	ahr	המאבק בגולה הטרגית בארץ	"<div class=""txtsearchsnippet"">... בבנו אור ליום ד‭. '‬הבו נפצע קל ובאסף אל <b class=""highlightcolor"">ביה""ח הממשלתי.</b> כפי שמוסרים אירע הסיכסוך לרגל _חביעח הבן מהאב ...</div>"	abbreviated
18	ahr19460310-01.2.29	10 March 1946	ahr	נרצח •הוד־ היד _הידק! _8 ב ב שבת פנחס	"<div class=""txtsearchsnippet"">... ביום א' (היום) תועבר גוויית הנרצח לצורך _בדיקת־דמוות, אל <b class=""highlightcolor"">בית־החולים . הממשלתי</b> בפרדם כ""ץ.</div>"	maqaf
19	ahr19460609-01.2.61	9 June 1946	ahr	ואסרה הב1_יםה הראשית רמגרע!הרוסים	"<div class=""txtsearchsnippet"">... הרוסים בדרך השער הראשי מרח' יפו. התנועה לבתי המשפט, <b class=""highlightcolor"">_בית־החולים הממשלתי</b> ובית־הסוהר המרכזי, הנמצאים בולם על מגרש הרוסים, הופנתה ...</div>"	maqaf
