n	id	date	publication	title	snippet
1	pls19381223-01.2.27	23 December 1938	pls	NEW HAIFA H 0 SPITAI	"<div class=""txtsearchsnippet"">NEW <b class=""highlightcolor"">HAIFA</b> H 0 SPITAI</div>"
2	pls19400805-01.2.31	5 August 1940	pls	FIRST AID STATIONS	"<div class=""txtsearchsnippet"">... the German Hospice . Watson House , in the <b class=""highlightcolor"">Old</b> City Misgab L * adach , <b class=""highlightcolor"">Old</b> City Talpioth ...</div>"
3	pls19400801-01.2.73	1 August 1940	pls	ATflOI ^ S	"<div class=""txtsearchsnippet"">W atson House , im fi ^ <b class=""highlightcolor"">Old</b> Misgab Ladach , <b class=""highlightcolor"">Old</b> d &gt; v</div>"
4	pls19400812-01.2.70	12 August 1940	pls	RrJS ii APD 37 A H BOMS	"<div class=""txtsearchsnippet"">... German ice . Hosp Watson House , in the <b class=""highlightcolor"">Old</b> City Misgab Ladach , <b class=""highlightcolor"">Old</b> City Talpioth Kindergarten Kupat ...</div>"
5	pls19420121-01.2.35	21 January 1942	pls	UNKNOWN	"<div class=""txtsearchsnippet"">... tell the tale is now at the Shaarei Zedek <b class=""highlightcolor"">Hospital</b> . She is Julia Yacobowitz , who is in ...</div>"
6	pls19400617-01.2.16	17 June 1940	pls	CHTTJ _) KILLED TN HAIFA 4 MEN INJURED IN OTHRR _ROA-T _) AOrmFNTS	"<div class=""txtsearchsnippet"">CHTTJ _) KILLED TN <b class=""highlightcolor"">HAIFA</b> 4 MEN INJURED IN OTHRR _ROA-T _) AOrmFNTS</div>"
7	pls19390605-01.2.66	5 June 1939	pls	HAIFA GETTING READY JEWISH AND ARAB A . R . P . VOLUNTEERS INSPECTED	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> GETTING READY JEWISH AND ARAB A . R . ...</div>"
8	pls19380919-01.2.22	19 September 1938	pls	DRIVER KILLED IN CRASH	"<div class=""txtsearchsnippet"">... to Tel Aviv , Jesse Haipern , twenty-two year <b class=""highlightcolor"">old</b> taxi , driver , of 107 Rr &gt; hov ...</div>"
9	pls19381223-01.2.3	23 December 1938	pls	ii iii _XJM . 1 vu _01 IM	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HOSPITAL</b> IN <b class=""highlightcolor"">HAIFA</b> DESCRIBES IT AS THE FINEST MEDTCAI INSTITUTION ...</div>"
10	pls19380626-01.2.11	26 June 1938	pls	DEATH OF INJURED BUS PASSENGER BITS DRIVER STILL AT LARGE	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> , Saturday . — Hadeeb Yusset Jouneh 40 one ...</div>"
11	pls19421006-01.2.59	6 October 1942	pls	UNKNOWN	"<div class=""txtsearchsnippet"">... truck near tiie Tel Mond police-station , a 10-year <b class=""highlightcolor"">old</b> Beduin girl of the Bassat el _Falek tribe died ...</div>"
12	pls19381108-01.2.31	8 November 1938	pls	"HAIFA'S GOVERNMENT _LHOSPITAOPEN ""AT HOME"" FOR PRESSMEN"	"<div class=""txtsearchsnippet"">HAIFAS <b class=""highlightcolor"">GOVERNMENT</b> _LHOSPITAOPEN AT HOME FOR PRESSMEN</div>"
13	pls19400820-01.2.38	20 August 1940	pls	P P _^ S 7 APP- STATIONS	"<div class=""txtsearchsnippet"">... the German Hospice . Watson House , in the <b class=""highlightcolor"">Old</b> City _^ - &gt; Mis-gab Ladaeh , <b class=""highlightcolor"">Old</b> City ...</div>"
14	pls19370905-01.2.3	5 September 1937	pls	arations For Prep Mediterranean Situation Parley	"<div class=""txtsearchsnippet"">... tones and to determine the culprit . The British <b class=""highlightcolor"">Government</b> is expected to make important proposals . It is ...</div>"
15	pls19380830-01.2.8	30 August 1938	pls	Death Sentence Within Two Weeks of Crime HAIFA MILITARY COURT JUDGMENT	"<div class=""txtsearchsnippet"">Death Sentence Within Two Weeks of Crime <b class=""highlightcolor"">HAIFA</b> MILITARY COURT JUDGMENT</div>"
16	pls19360616-01.2.31	16 June 1936	pls	Social and Personal	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">GOVERNMENT</b> HOUSE Sunday , June 11 The following dined at ...</div>"
17	pls19390901-01.2.12	1 September 1939	pls	UNKNOWN	"<div class=""txtsearchsnippet"">... . ATID _REOUISITIONED The Palestine Post learns that the <b class=""highlightcolor"">Government</b> has requisitioned the s . s . Atid , ...</div>"
18	pls19381220-01.2.28	20 December 1938	pls	BRITISH CONSTABLE BURIED AT HAIFA VICTIM OF CAR ACCIDENT	"<div class=""txtsearchsnippet"">BRITISH CONSTABLE BURIED AT <b class=""highlightcolor"">HAIFA</b> VICTIM OF CAR ACCIDENT</div>"
19	pls19420831-01.2.33	31 August 1942	pls	Ex-Officer Cinema Usher Joins Up	"<div class=""txtsearchsnippet"">... Atb ~ dallah Eft * , Jubranand other , <b class=""highlightcolor"">Government</b> officers , according to the Arabic press Mr , ...</div>"
20	pls19381229-01.2.30	29 December 1938	pls	GHAFFIR KILLED IN ACCIDENT COMPANION INJURED WHEN LORRY SKIDS NEAR FAfiADlEH	"<div class=""txtsearchsnippet"">... from tihe lorry in which they were riding firom <b class=""highlightcolor"">Haifa</b> to Safad at about 2 \ o clock _this ...</div>"
21	pls19400304-01.2.24	4 March 1940	pls	NO ^ ILLEGALS ? FROM RUMANIA	"<div class=""txtsearchsnippet"">... . — At the ! request of the British <b class=""highlightcolor"">Government</b> , according to The Evening Standard , the Rumanian ...</div>"
22	pls19380717-01.2.8	17 July 1938	pls	29 Others Wounded , hBomb y MEN , WOMEN , AND CHILDREN IN PANICMARKET A SHAMBLES ;	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> , Saturday . — The body of an Arab ...</div>"
23	pls19360219-01.2.54	19 February 1936	pls	Tel Aviv _Municiimlity Continues Budget Debate	"<div class=""txtsearchsnippet"">... here tonight . Once more the lack of sufficient <b class=""highlightcolor"">Government</b> participation in ithe expenses of the Tel Aviv Municipal ...</div>"
24	pls19390307-01.2.2	7 March 1939	pls	01 wr * m , mi Shot f $ iM £ nftmr IKiilinit Tiwo	"<div class=""txtsearchsnippet"">... Sternberg , the Medical Officer in charge of the <b class=""highlightcolor"">Government</b> <b class=""highlightcolor"">Hospital</b> , was shot and wounded by an unknown ...</div>"
25	pls19380317-01.2.14	17 March 1938	pls	HAIFA ADVOCATE BADLY WOUNDED SHOT ON WAY TO OFFICE	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> ADVOCATE BADLY WOUNDED SHOT ON WAY TO OFFICE</div>"
26	pls19380525-01.2.9	25 May 1938	pls	_iiSf _^ _ifl _^ A | _KfMf _iJ _^ i i it _w _A _^^ 8 A _IKJl _*?^ ( f _^ A _^ ii A i _TfRfS Cf ! _'^ _iti _^ : l /\ — _lls _#% P _fiVti . : / mfm W A _*\^ J _* _W El II Im _W Sioninq 9 _Shooting ; _ICnrfew Imposed	"<div class=""txtsearchsnippet"">... tah Tikva . The following are detained at the <b class=""highlightcolor"">Government</b> <b class=""highlightcolor"">Hospital</b> : Pavla Markova , 30 , and Ana ...</div>"
27	pls19390228-01.2.2	28 February 1939	pls	Untitled	"<div class=""txtsearchsnippet"">BOMB EXPLOSION IN <b class=""highlightcolor"">HAIFA</b> SUK KILLS TWENTY-FOUR</div>"
28	pls19370222-01.2.22	22 February 1937	pls	Mere Mayaud	"<div class=""txtsearchsnippet"">... , for 33 years Mother Superior of the French <b class=""highlightcolor"">Hospital</b> of the Holy Family , Bethlehem , at the ...</div>"
29	pls19391018-01.2.25	18 October 1939	pls	MURDERED CONSTABLES BURIED IN HAIFA	"<div class=""txtsearchsnippet"">MURDERED CONSTABLES BURIED IN <b class=""highlightcolor"">HAIFA</b></div>"
30	pls19371114-01.2.28	14 November 1937	pls	UNKNOWN	"<div class=""txtsearchsnippet"">... TEL AVIV , Saturday . — Negotiations wiTh the <b class=""highlightcolor"">Government</b> for the urgent , ratification of the Municipal By-Law ...</div>"
31	pls19380708-01.2.11	8 July 1938	pls	_r- !* 3 i H El / \ _ill . i _/* \ !¦ \ 4 m 1	"<div class=""txtsearchsnippet"">... an hour or so before the le of peop <b class=""highlightcolor"">Haifa</b> were allowed by the curfew order to leave theiir ...</div>"
32	pls19360825-01.2.16	25 August 1936	pls	An Idealistic Nurse	"<div class=""txtsearchsnippet"">... her immediate family , there is a brother in <b class=""highlightcolor"">Haifa</b> , a civil engineer , and a sister in ...</div>"
33	pls19400530-01.2.23	30 May 1940	pls	HAIFA'S DANGEROUS CORNER THREE CHILDREN HURT IN ACCIDENTS	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> , Wednesday . — A se . venyear <b class=""highlightcolor"">old</b> ...</div>"
34	pls19360308-01.2.9	8 March 1936	pls	English Private School Dance	"<div class=""txtsearchsnippet"">... ( Room 17 ) , New Business Centre , <b class=""highlightcolor"">Haifa</b> , between 10 a . m 12 noon . ...</div>"
35	pls19380803-01.2.1	3 August 1938	pls	HAIFA CURFEW OVERTOWN ; NOWJJUIETER IRAQ PETROLEUM COMPANY SIT -DOWN STRIKE CALLED OFF	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> CURFEW OVERTOWN ; NOWJJUIETER IRAQ PETROLEUM COMPANY SITDOWN STRIKE ...</div>"
36	pls19361126-01.2.37	26 November 1936	pls	Sofia ! _atM Pw _$ « _n _8 l	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">GOVERNMENT</b> HOUSE Wednesday , November 25 . The following dmed ...</div>"
37	pls19380907-01.2.36	7 September 1938	pls	-PERSONA ! : _SOCTArAND _mmmmmmmmmmmmmmmmmmmmmm	"<div class=""txtsearchsnippet"">... * * # Recent arrivals at the Windsor Hob <b class=""highlightcolor"">Haifa</b> town and Mt . Carmel , _incluc Mr . ...</div>"
38	pls19390612-01.2.55	12 June 1939	pls	TW O MIN IS TER S A BSTAIN ED FROM PALEST ! NF VOTE	"<div class=""txtsearchsnippet"">... the two Ministers who abstained from voting on the <b class=""highlightcolor"">Government</b> s policy for Palestine , have thereby incurred the ...</div>"
39	pls19400209-01.2.19	9 February 1940	pls	DEATH OF A SERGEANT SURGICAL WARD MASTER AT MILITARY HOSPITAL .	"<div class=""txtsearchsnippet"">DEATH OF A SERGEANT SURGICAL WARD MASTER AT MILITARY <b class=""highlightcolor"">HOSPITAL</b> .</div>"
40	pls19380804-01.2.9	4 August 1938	pls	_AGEDJEWSIIOTIN JERUSALEM ATTACK IN OLD CITY SUQ	"<div class=""txtsearchsnippet"">_AGEDJEWSIIOTIN JERUSALEM ATTACK IN <b class=""highlightcolor"">OLD</b> CITY SUQ</div>"
41	pls19420526-01.2.35	26 May 1942	pls	Primus C ! _s *! m < 3 V ? _c * ims	"<div class=""txtsearchsnippet"">... FROM WINDOW Primus stoves claimed three victims , an <b class=""highlightcolor"">old</b> man of 90 and two policemen brothers yesterday . ...</div>"
42	pls19410402-01.2.42	2 April 1941	pls	LADY DOWNES BURIED IN OLD HAIFA BRITISH CEMETERY	"<div class=""txtsearchsnippet"">LADY DOWNES BURIED IN <b class=""highlightcolor"">OLD</b> <b class=""highlightcolor"">HAIFA</b> BRITISH CEMETERY</div>"
43	pls19380720-01.2.105	20 July 1938	pls	HAIFA NOTEBOOK ...	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> NOTEBOOK ...</div>"
44	pls19380814-01.2.20	14 August 1938	pls	SOCIAL ' AND PERSONAL	"<div class=""txtsearchsnippet"">... Ulster Rifles , who has been Prosecutor at the <b class=""highlightcolor"">Haifa</b> Military Court .</div>"
45	pls19370416-01.2.9	16 April 1937	pls	Halim Basta and OrdtrlvShotDeart	"<div class=""txtsearchsnippet"">ARAB _ASSASMNS ESCAPE <b class=""highlightcolor"">HAIFA</b> , Thursday . — Renewed A « rab terrorism ...</div>"
46	pls19390823-01.2.13	23 August 1939	pls	Arab Shot in Old City	"<div class=""txtsearchsnippet"">Arab Shot in <b class=""highlightcolor"">Old</b> City</div>"
47	pls19410401-01.2.37	1 April 1941	pls	LADY FLORENCE DOWNES DEAD DONOR OF ALLENBY PARK	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> , Monday . — We regret to announce the ...</div>"
48	pls19420805-01.2.37	5 August 1942	pls	UNKNOWN	"<div class=""txtsearchsnippet"">... &lt; EMITES can be inloculailed against typhoid fever at <b class=""highlightcolor"">Government</b> centres at the following times , the Department of ...</div>"
49	pls19410828-01.2.36	28 August 1941	pls	RATS 00 HAIFA A _worrniRN SLUMS TORN DOWN	"<div class=""txtsearchsnippet"">RATS 00 <b class=""highlightcolor"">HAIFA</b> A _worrniRN SLUMS TORN DOWN</div>"
50	pls19401227-01.2.42	27 December 1940	pls	_F / _4 _C / 1 7 _' _0 FACESLIM ; CHANCE OF SURVIVAL	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HAIFA</b> , Thursday . — Siamese twins , a pair ...</div>"
51	pls19400814-01.2.20	14 August 1940	pls	TATPTOTH MARKET NOT FULLY DEVELOPED	"<div class=""txtsearchsnippet"">... , and the quantities needed . TEL AVIV EMERGENCY <b class=""highlightcolor"">HOSPITAL</b> _OPENED An emergency <b class=""highlightcolor"">hospital</b> with 170 beds has been ...</div>"
52	pls19370808-01.2.20	8 August 1937	pls	UNKNOWN	"<div class=""txtsearchsnippet"">... at 8 . 10 yesterday morning . Salim el <b class=""highlightcolor"">Haifa</b> , of Ramie , was admitted to <b class=""highlightcolor"">Government</b> <b class=""highlightcolor"">Hospital</b> ...</div>"
53	pls19380915-01.2.14	15 September 1938	pls	HOSPITAL PATIENT SHOT	"<div class=""txtsearchsnippet""><b class=""highlightcolor"">HOSPITAL</b> PATIENT SHOT</div>"
54	pls19400412-01.2.20	12 April 1940	pls	UNKNOWN	"<div class=""txtsearchsnippet"">... . —Ibrahim Kassem Alminawi was fatally stabbed in the <b class=""highlightcolor"">old</b> ci-y here this morning in a quarrel \ v ...</div>"
