issue_id	host_title	place	date	volume	issue	page_ids	page_captions	hits	record_id
12688335	MB	Tel-Aviv	1946-02-22	10	8	12688340;12688341;12688342;12688343	Seite 5;Seite 6;Seite 7;Seite 8	4	048258784
7413548	Yediʿot shel Irgun Yotsʾe Shlezyah ʿIlit be-Yiśraʾel	Tel-Aviv	1965-05		2	7413550;7413551;7413553	Seite 2;Seite 3;Seite 5	3	363670262
12930699	MB	Tel-Aviv	1983-09-07	51	34/35	12930849;12930851;12930852;12930853;12930854;12930855;12930856;12930857;12930858;12930859	Seite 2;Seite 4;Seite 5;Seite 6;Seite 7;Seite 8;Seite 9;Seite 10;Seite 11;Seite 12	23	048258784
12663012	MB	Tel-Aviv	1945-05-04	9	18	12663014;12663015;12663017;12663020;12663021;12663022	Seite 2;Seite 3;Seite 5;Seite 8;Seite 9;Seite 10	6	048258784
12893615	MB	Tel-Aviv	1976-08-20	44	32	12893659;12893662	Seite 2;Seite 5	2	048258784
12773216	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1942-09-25	6	39	12741695;12741696;12741697;12741698	Seite 5;Seite 6;Seite 7;Seite 8	4	048258792
12765375	MB	Tel-Aviv	1950-01-13	14	2	12759901;12759902;12759908;12759909;12759910	[Seite];Seite 2;Seite 8;Seite 9;Seite 10	5	048258784
12938046	MB	Tel-Aviv	1991-10	59	72	12938154;12938155;12938157;12938161;12938162	Seite 2;Seite 3;Seite 5;Seite 8;Seite 9	5	048258784
12663222	MB	Tel-Aviv	1945-10-05	9	40	12663228;12663229;12663230;12663231;12663232	Seite 6;Seite 7;Seite 8;Seite 9;Seite 10	5	048258784
12742406	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-07-19	4	29	12740645;12740646;12740649;12740650;12740651;12740652	[Seite];Seite 2;Seite 5;Seite 6;Seite 7;Seite 8	6	048258792
12742441	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-12-06	4	48	12740839;12740843;12740844;12740845;12740846	[Seite];Seite 5;Seite 6;Seite 7;Seite 8	5	048258792
12769080	MB	Tel-Aviv	1951-06-01	15	22	12760673;12760677;12760678;12760680;12760681	[Seite];Seite 5;Seite 6;Seite 8;Seite 9	5	048258784
12766398	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1942-06-05	6	23	12741540;12741544;12741545;12741546	Seite 2;Seite 6;Seite 7;Seite 8	4	048258792
12769066	MB	Tel-Aviv	1951-02-23	15	8	12760521;12760522;12760523;12760524;12760525;12760526;12760527;12760528	[Seite];Seite 2;Seite 3;Seite 4;Seite 5;Seite 6;Seite 7;Seite 8	8	048258784
12742392	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-05-24	4	21	12740570;12740572;12740573;12740574;12740575	Seite 2;Seite 4;Seite 5;Seite 6;Seite 7	5	048258792
12742374	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-02-16	4	7	12740441;12740442;12740443;12740444;12740445	Seite 4;Seite 5;Seite 6;Seite 7;Seite 8	5	048258792
12742398	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-06-28	4	26	12740616;12740617;12740618;12740619;12740621	Seite 3;Seite 4;Seite 5;Seite 6;Seite 8	5	048258792
12687967	Mitteilungsblatt der Hitachduth Olej Germania	Tel-Aviv	1935-06			12687968;12687969;13139096;13139097;13139103;13139104;12687975;12687976;12687977;12687979	[Seite];[Seite];Seite 1;Seite 2;Seite 6;Seite [7];Seite 14;Seite 15;Seite 16;Seite 18	24	048258784
12749864	MB	Tel-Aviv	1944-12-15	8	50	12745171;12745172;12745173;12745175;12745176;12745177;12745178;12745179	Seite 2;Seite 3;Seite 4;Seite 6;Seite 7;Seite 8;Seite 9;Seite 10	8	048258784
12749841	MB	Tel-Aviv	1944-07-07	8	27	12744975;12744976;12744977;12744979;12744980;12744982;12744983	Seite 2;Seite 3;Seite 4;Seite 6;Seite 7;Seite 9;Seite 10	7	048258784
12742442	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-12-13	4	49	12740849;12740850;12740851;12740855	Seite 2;Seite 3;Seite 4;Seite 8	4	048258792
12742425	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-09-13	4	37	12740725;12740727;12740729;12740730;12740732	[Seite];Seite 3;Seite 5;Seite 6;Seite 8	5	048258792
12749826	MB	Tel-Aviv	1944-04-21	8	16	12744855;12744856;12744857;12744859;12744860;12744861;12744862	[Seite];Seite [2];Seite 3;Seite 5;Seite 6;Seite 7;Seite 8	7	048258784
12663155	MB	Tel-Aviv	1945-08-17	9	33	12663157;12663158;12663162;12663163	Seite 2;Seite 3;Seite 7;Seite 8	4	048258784
12749828	MB	Tel-Aviv	1944-05-05	8	18	12744875;12744876;12744877;12744879;12744880	Seite 3;Seite 4;Seite 5;Seite 7;Seite 8	5	048258784
12749858	MB	Tel-Aviv	1944-11-03	8	44	12745115;12745119;12745120;12745121	Seite 2;Seite 6;Seite 7;Seite 8	4	048258784
12769121	MB	Tel-Aviv	1956-01-06	24	1	12766416;12766418;12766420;12766422	Seite 2;Seite 4;Seite 6;Seite 8	4	048258784
12742394	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-06-07	4	23	12740590;12740592;12740594	Seite 4;Seite 6;Seite 8	3	048258792
12663280	MB	Tel-Aviv	1945-11-16	9	46	12663284;12663288;12663289;12663290	Seite 4;Seite 8;Seite 9;Seite 10	4	048258784
12662965	MB	Tel-Aviv	1945-03-28	9	13	12662968;12662969;12662971;12662974;12662975	Seite 3;Seite 4;Seite 6;Seite 9;Seite 10	5	048258784
12766101	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1942-03-30	6	13	12741450;12741452;12741454;12741455;12741457;12741459;12741462;12741463;12741464;12741465	[Seite];Seite 3;Seite 5;Seite 6;Seite 8;Seite 10;Seite 13;Seite 14;Seite 15;Seite 16	10	048258792
12765389	MB	Tel-Aviv	1950-03-24	14	12	12760019;12760020;12760021;12760024;12760027	[Seite];Seite 2;Seite 3;Seite 6;Seite 9	5	048258784
12744463	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1941-02-28	5	9	12740952;12740954;12740956	Seite 4;Seite 6;Seite 8	3	048258792
12762853	MB	Tel-Aviv	1948-01-23	12	4	12757604;12757605;12757606;12757611;12757612	Seite 2;Seite 3;Seite 4;Seite 9;Seite 10	5	048258784
12766392	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1942-05-08	6	19	12741506;12741507;12741508;12741509;12741510	Seite 4;Seite 5;Seite 6;Seite 7;Seite 8	5	048258792
12773247	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1943-04-23	7	17	12750920;12750922;12750926;12750927	[Seite];Seite 3;Seite 7;Seite 8	4	048258792
12755962	MB	Tel-Aviv	1947-05-02	11	18	12745383;12745385;12745388;12745389;12745390;12745391	Seite 2;Seite 4;Seite 7;Seite 8;Seite 9;Seite 10	6	048258784
12762953	MB	Tel-Aviv	1949-03-25	13	12	12758222;12758227;12758228;12758229;12758230;12758231	[Seite];Seite 6;Seite 7;Seite 8;Seite 9;Seite 10	6	048258784
12769106	MB	Tel-Aviv	1951-11-09	15	45	12760903;12760904;12760908;12760909;12760910	[Seite];Seite 2;Seite 6;Seite 7;Seite 8	5	048258784
12866941	MB	Tel-Aviv	1959-01-30	27	5	12866943;12866944;12866945;12866946;12866949	Seite 2;Seite 3;Seite 4;Seite 5;Seite 8	5	048258784
12765422	MB	Tel-Aviv	1950-08-25	14	34	12760267;12760269;12760270;12760271;12760272;12760273	Seite 2;Seite 4;Seite 5;Seite 6;Seite 7;Seite 8	6	048258784
12765441	MB	Tel-Aviv	1950-11-17	14	46	12760373;12760374;12760375;12760376;12760378;12760379;12760380	[Seite];Seite 2;Seite 3;Seite 4;Seite 6;Seite 7;Seite 8	7	048258784
12849247	MB	Tel-Aviv	1952-02-01	16	5	12849275;12849276;12849277;12849279;12849280;12849281;12849282	[Seite];Seite 2;Seite 3;Seite 5;Seite 6;Seite 7;Seite 8	7	048258784
12742426	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-09-20	4	38	12740736;12740737;12740739;12740740;12740741	Seite 3;Seite 4;Seite 6;Seite 7;Seite 8	5	048258792
12762806	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1941-11-07	5	45	12741279;12741280;12741285;12741286	[Seite];Seite 2;Seite 7;Seite 8	4	048258792
12755933	MB	Tel-Aviv	1947-01-03	11	1	12745196;12745197;12745198;12745199;12745201;12745202;12745203;12745204	Seite 2;Seite 3;Seite 4;Seite 5;Seite 7;Seite 8;Seite 9;Seite 10	8	048258784
12766108	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1942-04-24	6	17	12741490;12741491;12741492	Seite 6;Seite 7;Seite 8	3	048258792
12749778	MB	Tel-Aviv	1943-11-19	7	47	12744615;12744616;12744617;12744618;12744619;12744623;12744624	Seite 3;Seite 4;Seite 5;Seite 6;Seite 7;Seite 11;Seite 12	7	048258784
12762870	MB	Tel-Aviv	1948-05-21	12	21	12757783;12757786;12757787;12757788;12757789	Seite 2;Seite 5;Seite 6;Seite 7;Seite 8	5	048258784
12688673	MB	Tel-Aviv	1946-10-09	10	41	12688675;12688678;12688680;12688681	Seite 2;Seite 5;Seite 7;Seite 8	4	048258784
12662985	MB	Tel-Aviv	1945-04-13	9	15	12662989;12662990;12662991;12662992;12662993	Seite 4;Seite 5;Seite 6;Seite 7;Seite 8	5	048258784
12892109	MB	Tel-Aviv	1972-11-03	40	44	12892110;12892111;12892117	[Seite];Seite 2;Seite 8	3	048258784
12769172	MB	Tel-Aviv	1956-12-28	24	52	12766902;12766907;12766908;12766910	Seite 2;Seite 7;Seite 8;Seite 10	4	048258784
12765448	MB	Tel-Aviv	1950-12-29	14	52	12760435;12760436;12760437;12760438;12760439;12760440;12760441	[Seite];Seite 2;Seite 3;Seite 4;Seite 5;Seite 6;Seite 7	7	048258784
12930702	MB	Tel-Aviv	1983-10-21	51	38	12930900;12930901;12930902;12930903;12930907	[Seite];Seite 2;Seite 3;Seite 4;Seite 8	5	048258784
12927109	MB	Tel-Aviv	1979-11-02	47	41	12927111;12927113;12927115	Seite 2;Seite 4;Seite 6	3	048258784
12933363	MB	Tel-Aviv	1984-07-13	52	28	12933364;12933370;12933371	[Seite];Seite 7;Seite 8	3	048258784
12744451	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1941-01-03	5	1	12740877;12740885;12740890;12740891;12740879;12740880	[Seite];Seite 4 ;Seite 5 ;Seite 6 ;Seite 7;Seite 8	6	048258792
12945617	MB	Tel-Aviv	1999-12	67	150	12945741;12945744	Seite 4;Seite 7	2	048258784
12842411	MB	Tel-Aviv	1968-10-04	36	40	12842419	Seite 8	1	048258784
12744462	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1941-02-21	5	8	12740940;12740942;12740944;12740945;12740946;12740947	[Seite];Seite 3;Seite 5;Seite 6;Seite 7;Seite 8	6	048258792
12840680	MB	Tel-Aviv	1966-01-14	34	2	12840682;12840687;12840690	Seite 2;Seite 7;Seite 10	3	048258784
12762818	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1942-01-23	6	4	12741376;12741377;12741378	Seite 6;Seite 7;Seite 8	3	048258792
12853511	MB	Tel-Aviv	1952-11-21	20	46	12853513;12853516;12853518;12853521	Seite 2;Seite 5;Seite 7;Seite 10	4	048258784
12755999	MB	Tel-Aviv	1947-11-21	11	47	12745711;12745712;12745713;12745718;12745719	Seite 2;Seite 3;Seite 4;Seite 9;Seite 10	5	048258784
12937480	MB	Tel-Aviv	1987-07	55	26	12937547;12937551	Seite 2;Seite 6	2	048258784
12762820	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1942-01-30	6	5	12741380;12741381;12741384;12741385;12741386;12741387	[Seite];Seite 2;Seite 5;Seite 6;Seite 7;Seite 8	6	048258792
12840435	MB	Tel-Aviv	1965-09-17	33	38	12840437;12840447	Seite 2;Seite 12	2	048258784
12938686	MB	Tel-Aviv	1996	64	117	12938718;12938719;12938721;12938722;12938723;12938724	Seite 6;Seite 7;Seite 9;Seite 10;Seite 11;Seite 12	6	048258784
12930513	MB	Tel-Aviv	1983-04-08	51	13	12930654;12930656	Seite 5;Seite 7	2	048258784
12926980	MB	Tel-Aviv	1979-07-20	47	27	12926982;12926983;12926986;12926987;12926988	Seite 2;Seite 3;Seite 6;Seite 7;Seite 8	5	048258784
12937824	MB	Tel-Aviv	1989-11	57	52	12937911;12937913	Seite 5;Seite 7	2	048258784
12937818	MB	Tel-Aviv	1989-02	57	45	12937839;12937840;12937841;12937842	Seite 3;Seite 4;Seite 5;Seite 6	4	048258784
12775169	MB	Tel-Aviv	1958-02-21	26	8	12775181;12775183;12775184;12775185;12775187	Seite 2;Seite 4;Seite 5;Seite 6;Seite 8	5	048258784
2424693	Jüdische Weltrundschau	Jerusalem	1940-02-19	2	7	2425190;2425191;2425193	Seite 4;Seite 5;Seite 7	3	issue-35456
12773231	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1943-01-01	7	1	12750776;12750777;12750782;12750783	[Seite];Seite 2;Seite 7;Seite 8	4	048258792
12749870	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1941-07-04	5	27	12741122;12741124;12741127;12741128	Seite 2;Seite 4;Seite 7;Seite 8	4	048258792
12769077	MB	Tel-Aviv	1951-05-11	15	19	12760640;12760641;12760647;12760648	[Seite];Seite 2;Seite 8;Seite 9	4	048258784
2424673	Jüdische Weltrundschau	Jerusalem	1939-06-23	1	15	2424951;2424954;2424955;2424957;2424958;2424961;2424962	[Seite];Seite 4;Seite 5;Seite 7;Seite 8;Seite 11;Seite 12	7	issue-35436
12884556	MB	Tel-Aviv	1960-05-06	28	19	12884560;12884561;12884562;12884566;12884567;12884568	Seite 2;Seite 3;Seite 4;Seite 8;Seite 9;[Seite]	6	048258784
12902738	MB	Tel-Aviv	1980-05-16	48	19	12902900;12902902	Seite 6;Seite 8	2	048258784
9255301	Erez Israel	[Jerusalem]	1923-06		Heft Nr. 6	3765667;3765671;3765672;3765676;3765677;3765683;3765688;3765693;3765695;3765722	Seite 71;Seite 75;Seite 76;Seite 80;Seite 81;Seite 87;Seite 92;Seite 97;Seite 99;Seite 126	21	471861758
12780923	MB	Tel-Aviv	1963-07-19	31	29	12786379;12786380;12786382;12786384;12786388	Seite 7;Seite 8;Seite 9;Seite 10;Seite 12	5	048258784
12762950	MB	Tel-Aviv	1949-03-04	13	9	12758189;12758191;12758195;12758196;12758197;12758198	[Seite];Seite 3;Seite 7;Seite 8;[Seite];Seite 10	6	048258784
12688589	MB	Tel-Aviv	1946-08-16	10	33	12688590;12688591;12688595;12688596;12688598;12688599	[Seite];Seite 2;Seite 6;Seite 7;Seite 9;Seite 10	6	048258784
12865342	MB	Tel-Aviv	1955-05-13	23	19	12865540;12865541;12865542;12865543;12865544;12865545	Seite 2;Seite 3;Seite 4;Seite 5;Seite 6;Seite 7	6	MB_1955_20221022_B_1955_19
12836954	MB	Tel-Aviv	1963-11-01	31	44	12836958;12836960;12836963;12836965	Seite 4;Seite 6;Seite 9;Seite 11	4	048258784
12937256	MB	Tel-Aviv	1986-07	54	14	12937334;12937337;12937339;12937340	[Seite];Seite 4;Seite 6;Seite 7	4	048258784
12867422	MB	Tel-Aviv	1960-01-08	28	2	12867424;12867426;12867429;12867430;12867432	Seite 2;Seite 4;Seite 7;Seite 8;Seite 10	5	048258784
12853674	MB	Tel-Aviv	1953-05-29	21	22	12853858;12853859;12853860;12853861;12853862;12853863;12853865	Seite 2;Seite 3;Seite 4;[Seite];Seite 6;Seite 7;Seite 9	7	048258784
12762897	MB	Tel-Aviv	1948-12-03	12	48	12758046;12758053;12758054	[Seite];Seite 8;Seite 9	3	048258784
12841915	MB	Tel-Aviv	1966-11-25	34	47	12841917;12841920;12841921;12841925	Seite 2;Seite 5;Seite 6;Seite 10	4	048258784
