issue_id	host_title	place	date	volume	issue	page_ids	page_captions	hits	record_id
12762966	MB	Tel-Aviv	1949-07-01	13	26	12758371	Seite 3	1	048258784
12762796	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1941-09-12	5	37	12741214	Seite 4	1	048258792
12927644	MB	Tel-Aviv	1982-01-22	50	4	12927645	[Seite]	1	048258784
12859282	MB	Tel-Aviv	1954-01-08	22	2	12859284	Seite 2	1	048258784
2424670	Jüdische Weltrundschau	Jerusalem	1939-06-02	1	12	2424908	Seite 8	1	issue-35433
12853533	MB	Tel-Aviv	1952-12-05	20	48	12853537	Seite 4	1	048258784
12893615	MB	Tel-Aviv	1976-08-20	44	32	12893660	Seite 3	1	048258784
12840513	MB	Tel-Aviv	1965-10-29	33	44	12840515	Seite 2	1	048258784
12884691	MB	Tel-Aviv	1962-05-11	30	19	12884693	Seite 2	1	048258784
12845458	MB	Tel-Aviv	1969-11-21	37	47	12845460	Seite 2	1	048258784
12938567	MB	Tel-Aviv	1995	63	108	12938607	Seite 5	1	048258784
12779646	MB	Tel-Aviv	1961-01-27	29	4	12779684	Seite 2	1	048258784
12842382	MB	Tel-Aviv	1968-09-13	36	37	12842384	Seite 2	1	048258784
12762872	MB	Tel-Aviv	1948-06-04	12	23	12757801	Seite 2	1	048258784
12884761	MB	Tel-Aviv	1962-06-22	30	25	12884767	Seite 6	1	048258784
12885229	MB	Tel-Aviv	1962-09-21	30	38	12885236	Seite 7	1	048258784
12885163	MB	Tel-Aviv	1962-08-10	30	32	12885168	Seite 5	1	048258784
12902722	MB	Tel-Aviv	1980-01-11	48	2	12902753	Seite 3	1	048258784
12893260	MB	Tel-Aviv	1973-11-16	41	39	12893279	Seite 7	1	048258784
12884735	MB	Tel-Aviv	1962-06-07	30	23	12884744	Seite 9	1	048258784
12843651	MB	Tel-Aviv	1969-10-10	37	41	12843653	Seite 2	1	048258784
12780617	MB	Tel-Aviv	1963-01-18	31	3	12780683	Seite 2	1	048258784
12885268	MB	Tel-Aviv	1962-10-05	30	41	12885272	Seite 3	1	048258784
12930685	MB	Tel-Aviv	1983-05-27	51	20	12930736	[Seite]	1	048258784
12840227	MB	Tel-Aviv	1965-05-28	33	22	12840234	Seite 7	1	048258784
12840539	MB	Tel-Aviv	1965-11-12	33	46	12840541	Seite 2	1	048258784
12887573	MB	Tel-Aviv	1971-06-25	39	26	12887884	Seite 6	1	048258784
