issue_id	host_title	place	date	volume	issue	page_ids	page_captions	hits	record_id
12930507	MB	Tel-Aviv	1983-02-11	51	6	12930579	Seite 2	1	048258784
12866979	MB	Tel-Aviv	1959-02-27	27	9	12866983	Seite 4	1	048258784
12931080	MB	Tel-Aviv	1984-03-16	52	11	12931088	Seite 8	1	048258784
12893527	MB	Tel-Aviv	1976-07-02	44	26	12893594	Seite 3	1	048258784
12930990	MB	Tel-Aviv	1984-01-06	52	1	12930992	Seite 2	1	048258784
12933417	MB	Tel-Aviv	1984-08-24	52	34	12933425	Seite 8	1	048258784
12885981	MB	Tel-Aviv	1970-04-10	38	15	12886114	Seite 2	1	048258784
12893826	MB	Tel-Aviv	1977-03-04	45	9	12893942	Seite 8	1	048258784
12937020	MB	Tel-Aviv	1985-02-15	53	7	12937095	[Seite]	1	048258784
12742379	Mitteilungsblatt der Hitachdut Olej Germania we Austria	Tel-Aviv	1940-03-08	4	10	12740472	Seite 4	1	048258792
12893113	MB	Tel-Aviv	1973-08-03	41	30	12893194	Seite 2	1	048258784
12842969	MB	Tel-Aviv	1969-04-11	37	15	12842975	Seite 3	1	048258784
12945615	MB	Tel-Aviv	1999-10	67	148	12945711	Seite 2	1	048258784
12762867	MB	Tel-Aviv	1948-04-29	12	18	12757761	Seite 7	1	048258784
12892100	MB	Tel-Aviv	1972-10-27	40	43	12892102	Seite 2	1	048258784
2424696	Jüdische Weltrundschau	Jerusalem	1940-03-11	2	10	2425220	Seite 4	1	issue-35459
12853672	MB	Tel-Aviv	1953-05-08	21	19	12853834	Seite 2	1	048258784
12840789	MB	Tel-Aviv	1966-03-11	34	10	12840795	Seite 4	1	048258784
12865351	MB	Tel-Aviv	1955-07-15	23	28	12865618	Seite 2	1	MB_1955_20221022_B_1955_28
12841882	MB	Tel-Aviv	1966-11-04	34	44	12841890	Seite 8	1	048258784
12865333	MB	Tel-Aviv	1955-02-25	23	8	12865471	Seite 7	1	MB_1955_20221022_B_1955_08
12859506	MB	Tel-Aviv	1954-06-18	22	25	12859508	Seite 2	1	048258784
12867076	MB	Tel-Aviv	1959-05-08	27	19	12867079	Seite 3	1	048258784
12663164	MB	Tel-Aviv	1945-08-24	9	34	12663166	Seite 2	1	048258784
12842063	MB	Tel-Aviv	1968-02-23	36	8	12842068	Seite 5	1	048258784
12842096	MB	Tel-Aviv	1968-03-15	36	11	12842098	Seite 2	1	048258784
12885369	MB	Tel-Aviv	1962-12-14	30	50	12885373	Seite 4	1	048258784
12765386	MB	Tel-Aviv	1950-03-17	14	11	12760009	Seite 2	1	048258784
12837104	MB	Tel-Aviv	1964-08-14	32	33	12837113	Seite 8	1	048258784
12839960	MB	Tel-Aviv	1965-01-15	33	3	12839975	Seite 2	1	048258784
12762853	MB	Tel-Aviv	1948-01-23	12	4	12757606	Seite 4	1	048258784
12840344	MB	Tel-Aviv	1965-07-30	33	31	12840346	Seite 2	1	048258784
12840409	MB	Tel-Aviv	1965-09-03	33	36	12840411	Seite 2	1	048258784
12840680	MB	Tel-Aviv	1966-01-14	34	2	12840689	Seite 9	1	048258784
12946133	MB	Tel-Aviv	2002-02	70	170	12946161	Seite 4	1	048258784
12930699	MB	Tel-Aviv	1983-09-07	51	34/35	12930857	Seite 10	1	048258784
