n	id	date	publication	title	snippet	forms
1	ahr19430817-01.1.3	17 August 1943	ahr	Page 3	"<div class=""txtsearchsnippet"">... שי פישט־ יד ערבי. זהותו לא נקבעה הועבר אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> בסביבות עכי פגעה מכונית צבאית בחםן אחמד _שהאדה, ...</div>"	maqaf
2	ahr19430903-01.1.7	3 September 1943	ahr	Page 7	"<div class=""txtsearchsnippet"">... , ירו בו ופצעוהו. הפצוע ד. ־ בל אד <b class=""highlightcolor"">בית־החולים הממשלתי.</b></div>"	maqaf
3	ahr19430919-01.1.2	19 September 1943	ahr	Page 2	"<div class=""txtsearchsnippet"">... לפני _כחדשיים ע""י חיים זאלסקי , ןות ביום ד' <b class=""highlightcolor"">ביה""ח הממשלתי.</b> קנס _ודכרי־מושר לקצב עבריין זאב אםאטאנוביץ‭, _'‬שברשותו נמצא ...</div>"	abbreviated
4	ahr19431011-01.1.3	11 October 1943	ahr	Page 3	"<div class=""txtsearchsnippet"">התנגשות והפלה אמבולנס של <b class=""highlightcolor"">_בית־החולים הממשלתי</b> נתחלק והתנגש במכונית טאקסי. בהו־ רה שעמדה לשכור ...</div>"	maqaf
5	ahr19440406-01.1.4	6 April 1944	ahr	Page 4	"<div class=""txtsearchsnippet"">... היום (יום די) הפועל אלכסנדר גולדברגר. גופתו הועברה אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> תופפת כעד שעות נופפות — הוועד הפועל החליט ...</div>"	maqaf
6	ahr19440606-01.1.4	6 June 1944	ahr	Page 4	"<div class=""txtsearchsnippet"">... השוטר הפ־ צוע הגיע _לתחנת־משטרה ומשם נא־ סף זיל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b></div>"	maqaf
7	ahr19440627-01.1.4	27 June 1944	ahr	Page 4	"<div class=""txtsearchsnippet"">... חיים, לאחר שהמשטרה הגיעה למקום, הועברה הגופה לבדיקה אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> משערים כי הצעירה איבדה את עצמה לדעת בבליעת ...</div>"	maqaf
8	ahr19440920-01.1.4	20 September 1944	ahr	Page 4	"<div class=""txtsearchsnippet"">... _זורבעה חד לי דבר הובאו בימים תץ. הרוניפ אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה. 2 מהם מתו. מיםפו מתי הדבר עד ...</div>"	maqaf
9	ahr19441003-01.1.4	3 October 1944	ahr	Page 4	"<div class=""txtsearchsnippet"">... עוד חולה דבר, ערבי הובא _ביוס א' אי י <b class=""highlightcolor"">בית־החולים ' הממשלתי</b> בחיפה.</div>"	maqaf
10	ahr19441013-01.1.8	13 October 1944	ahr	Page 8	"<div class=""txtsearchsnippet"">... העשן, רק בעבור חצי שעד, הוצא משם וגשלח אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> יתד עם שאר חמשת הנפגעים. שנייס מהם נשלחו ...</div>"	maqaf
11	ahr19450105-01.1.8	5 January 1945	ahr	Page 8	"<div class=""txtsearchsnippet"">... 2 ערבים מתושבי חיפה במחלת הדבר והו־ באו אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> מיספר האנשים שהלו עד כה בדבר בחיפה מגיע ...</div>"	maqaf
12	ahr19450527-01.1.4	27 May 1945	ahr	Page 4	"<div class=""txtsearchsnippet"">... לא הועיל והמתאבד מת. המשטרה אספה"" את גופתו אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> עלה ארצה מהונגריה. דייר בקריית־ חיים. עבד בחברת ...</div>"	maqaf
13	ahr19450812-01.1.4	12 August 1945	ahr	Page 4	"<div class=""txtsearchsnippet"">... ליו משמר־הים מאוטובוס ציבורי שנסע לנהריה. גופתו נאספה אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> בן ‭. 50‬ שכתי לוי, ראש עירייה חיפה, ...</div>"	maqaf
14	ahr19451102-01.1.8	2 November 1945	ahr	Page 8	"<div class=""txtsearchsnippet"">... הוא : יעקב גולדברג (גרינברג ‭, (?‬הגרפה נאספה אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפד‭., ‬ עפולה ורהוכות על־יו עפולה פוצצו הלילה ...</div>"	maqaf
15	ahr19451202-01.1.4	2 December 1945	ahr	Page 4	"<div class=""txtsearchsnippet"">... ו' בקטר בשטח הנמל. ד חיילים שנפצעו, נאספו אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> הנהג, יתודי , שנפצע אף הוא, נעצר לצורכי ...</div>"	maqaf
16	ahr19460227-01.1.2	27 February 1946	ahr	Page 2	"<div class=""txtsearchsnippet"">... "" מיגרש הרובים‭, ""‬ אין עליו לטרות כלל, שהרי <b class=""highlightcolor"">_בית־החולים הממשלתי</b> אף הוא כאן, לשמאלו של בניין המשפט. — ...</div>"	maqaf
17	ahr19460307-01.1.4	7 March 1946	ahr	Page 4	"<div class=""txtsearchsnippet"">... בבנו אור ליום ד‭. '‬הבו נפצע קל ובאסף אל <b class=""highlightcolor"">ביה""ח הממשלתי.</b> כפי שמוסרים אירע הסיכסוך לרגל _חביעח הבן מהאב ...</div>"	abbreviated
18	ahr19460310-01.1.4	10 March 1946	ahr	Page 4	"<div class=""txtsearchsnippet"">... ביום א' (היום) תועבר גוויית הנרצח לצורך _בדיקת־דמוות, אל <b class=""highlightcolor"">בית־החולים . הממשלתי</b> בפרדם כ""ץ.</div>"	maqaf
19	ahr19460609-01.1.4	9 June 1946	ahr	Page 4	"<div class=""txtsearchsnippet"">... הרוסים בדרך השער הראשי מרח' יפו. התנועה לבתי המשפט, <b class=""highlightcolor"">_בית־החולים הממשלתי</b> ובית־הסוהר המרכזי, הנמצאים בולם על מגרש הרוסים, הופנתה ...</div>"	maqaf
20	ahr19460616-01.1.4	16 June 1946	ahr	Page 4	"<div class=""txtsearchsnippet"">... _ברחרב טבריה. קצין המחוז נפצע בירייה בצווארו ונאסף אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> מצבו אינו קשר, ליד _מקוס ההתנקשות נמצא אקווה.</div>"	maqaf
21	ahr19460619-01.1.1	19 June 1946	ahr	Page 1	"<div class=""txtsearchsnippet"">י‭, '‬ההתקפה בתי־המלאבר, של הרכבת, הרכאו אל <b class=""highlightcolor"">בית ; החולים הממשלתי</b> בחיפה 10 גופות של מתקיפים שנהרגו ...</div>"	spelled
22	ahr19460726-01.1.8	26 July 1946	ahr	Page 8	"<div class=""txtsearchsnippet"">וקרובים צפופים ליו <b class=""highlightcolor"">בית־החולים הממשלתי,</b> שהנר מהוד המטרד. לחללים המובאים במכוניות _הצלב־האדופ. הקבובים ...</div>"	maqaf
23	ahr19460910-01.1.1	10 September 1946	ahr	Page 1	"<div class=""txtsearchsnippet"">... בחיפה ונפצע. הוא נפגע _ב־ד מקומות בגופו. נאסף אל <b class=""highlightcolor"">בית החולים הממשלתי</b> ושם מת. הניח אשר"" ממקור רשמי מוסרים, ...</div>"	spelled
24	ahr19460912-01.1.4	12 September 1946	ahr	Page 4	"<div class=""txtsearchsnippet"">... בנכי־ רובין לחזור ליפו. שכיתת א היות• — אחיות <b class=""highlightcolor"">_בית־ החולים הממשלתי</b> ביפי הכריזו שלשום שביתת־רעב על שהנחלח בית־ ...</div>"	spelled
25	ahr19461011-01.1.7	11 October 1946	ahr	Page 7	"<div class=""txtsearchsnippet"">... ג'אואו!בן 45 ועבד אל עזיז, בן ‭. 40‬נאספו אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה.</div>"	maqaf
26	ahr19461018-01.1.7	18 October 1946	ahr	Page 7	"<div class=""txtsearchsnippet"">... נפצע, בנפול עליו אבנים בעבדי במחצבה. הוא נאסף אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה ושם מת. _פגיעותיהן של מכוניות צבאיות ביום ...</div>"	maqaf
27	ahr19461023-01.1.4	23 October 1946	ahr	Page 4	"<div class=""txtsearchsnippet"">... בו עד שהצליחו להשיב רוחו אליו. הובאו לבית־החולים אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בחיפה הובאו 3 מעפיי י ים חולים: יואכים ...</div>"	maqaf
28	ahr19461101-01.1.8	1 November 1946	ahr	Page 8	"<div class=""txtsearchsnippet"">... בן ‭, 22‬מערב מישאאת נפת חיפה. הוא נאסף אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> בהיפה ומת שעה לאחו שהובא לשם. נכגע _טנזכדנית ...</div>"	maqaf
29	ahr19461124-01.1.4	24 November 1946	ahr	Page 4	"<div class=""txtsearchsnippet"">... המכוניות. הפצוע וכן- גופת ההרוג, שלא זוהתה, נאספו אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> גסמנע _כןןכודה בגמל עלי זן 8ורה, בן M ...</div>"	maqaf
30	ahr19461128-01.1.4	28 November 1946	ahr	Page 4	"<div class=""txtsearchsnippet"">... ""הברא קדיש‭""*‬ בחי ־ פה ודרשו מהם ללכת אל <b class=""highlightcolor"">בית־החולים הממשלתי</b> , כדי לקבור את שני החללים מבין המעפילים. ...</div>"	maqaf
31	ahr19470105-01.1.4	5 January 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... אור ליום ר במלון ברחוב הרצל. גוסתו נאספה אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b> מוסרים, כי את מעשהו הנואש ביצע על רקע ...</div>"	maqaf
32	ahr19470121-01.1.3	21 January 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... רגלו בין 2 קרונות בתחנת חורה. הוא נאסף אל <b class=""highlightcolor"">בית־ החולים הממשלתי.</b></div>"	spelled
33	ahr19470122-01.1.3	22 January 1947	ahr	Page 3	"<div class=""txtsearchsnippet"">... נפל ובגום לו שבר ברגלו השמאלית ובמרפקחו נאסף אל <b class=""highlightcolor"">_בית־החולים הממשלתי.</b> נוטר נדרס עבדאללה מוחמר עבואללה, נוטר, נדרם על־ידי ...</div>"	maqaf
34	ahr19470122-01.1.4	22 January 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">ד""ר שמעון כמש מנהל <b class=""highlightcolor"">בית־החולים הממשלתי</b> ""הירקון"" _בתל־אביב הועלה בדרגה ונשלח לאנגליה להשתלם במקצוע ...</div>"	maqaf
35	ahr19470123-01.1.4	23 January 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... נאסף אל _בית־החולים רוטשילד ועמין מוסטפה _אבו־שחב — אל <b class=""highlightcolor"">_בית־החולים הממשלתי</b> בחיפה.</div>"	maqaf
36	ahr19470127-01.1.4	27 January 1947	ahr	Page 4	"<div class=""txtsearchsnippet"">... _אמאלין איל־פ""חפ' שנדקר במסיבות בלחי ידועות. הגופה נאספה אל <b class=""highlightcolor"">בית־החולים הממשלתי.</b></div>"	maqaf
